"# total is calibrated WITHIN k (the normalisation caps are pair-fitted); compare rows by percentile_within_k, never a triple's total against a pair's. deduped_into names the better combination that makes the same claim with an interchangeable part; blank means this row is the family representative."
rank,k,ids,parts,usd,total,percentile_within_k,synergy,emergent_keys,new_route_keys,multiplicity_incidental_keys,shared_phenomena,shared_kinds,compensation_channels,compensation_source,compensation_doubtful,failure_independence,tau_decades,time_mode,tau_confidence,tau_lower_bound,novelty,esp32_verdict,boards_that_fit,family_signature,deduped_into,equivalent_swaps,reasoning,confound
11,2,S013|S279,BME280 climate combo|STC31 percent-level CO2,34.0,0.592,99.987,6.0,radon-risk-rising|window-open-state,,,,,S013>S279:barometric-pressure@1|S013>S279:humidity@1|S013>S279:temperature-drift@1,prose,0,0.6,0.0,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S013+S279,,S013+S280,"BME280 climate combo + STC31 percent-level CO2: BME280 climate combo measures `pressure-absolute`, which is exactly what fools STC31 percent-level CO2 (barometric pressure and altitude change), plus 2 further correction channel(s); together they reach `radon-risk-rising`, `window-open-state`, which no member reaches alone; their time constants differ by 0.0 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (barometric pressure and altitude change, ambient humidity and condensation), so agreement between them is NOT independent confirmation. Window-state inferencer: A door to a well-ventilated hallway mimics it; mechanical ventilation kicking in mimics it too. Fingerprint each room's baseline first. The correction is only as good as the co-location — BME280 climate combo must sit in the same air/on the same surface as STC31 percent-level CO2 or it is correcting a different place."
12,2,S015|S071,SHT31 weatherproof probe|Grid-EYE AMG8833 thermal array,47,0.58856,99.985,7.0,black-ice-risk|condensation-risk,sky-clear,,,,S071>S015:sunlight-ir@1|S015>S071:self-heating@1,prose,0,0.838,2.477,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S015+S071,,,"SHT31 weatherproof probe + Grid-EYE AMG8833 thermal array: Grid-EYE AMG8833 thermal array measures `temperature-remote`, which is exactly what fools SHT31 weatherproof probe (sunlight and ambient infrared), plus 1 further correction channel(s); together they reach `black-ice-risk`, `condensation-risk`, which no member reaches alone; their time constants differ by 2.5 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (sunlight and ambient infrared), so agreement between them is NOT independent confirmation. Condensation forecaster: Emissivity: a shiny surface lies to the IR thermometer by 20× (Anti-Catalog II). Put a strip of matt tape at the cold spot and aim at that. The correction is only as good as the co-location — Grid-EYE AMG8833 thermal array must sit in the same air/on the same surface as SHT31 weatherproof probe or it is correcting a different place."
13,2,S023|S038,BME688 gas + climate AI|MH-Z19C budget NDIR CO2,33,0.58383,99.984,6.0,radon-risk-rising|window-open-state,,,,,S023>S038:barometric-pressure@1|S023>S038:self-heating@1,prose,0,0.643,3.459,separated,high,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S023+S037,,S023+S039,"BME688 gas + climate AI + MH-Z19C budget NDIR CO2: BME688 gas + climate AI measures `pressure-absolute`, which is exactly what fools MH-Z19C budget NDIR CO2 (barometric pressure and altitude change), plus 1 further correction channel(s); together they reach `radon-risk-rising`, `window-open-state`, which no member reaches alone; their time constants differ by 3.5 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (self-heating of the sensor or its own board), so agreement between them is NOT independent confirmation. Window-state inferencer: A door to a well-ventilated hallway mimics it; mechanical ventilation kicking in mimics it too. Fingerprint each room's baseline first. The correction is only as good as the co-location — BME688 gas + climate AI must sit in the same air/on the same surface as MH-Z19C budget NDIR CO2 or it is correcting a different place."
14,2,S004|S378,MAX31855 thermocouple amp|INA700 power monitor with on-die shunt,19.0,0.583,99.98,7.55,building-heat-loss|cost-per-use|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active,,temperature-contact,differential,S378>S004:mains-hum@1,prose,0,0.9,,unknown,none,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B014,S004+S378,,S010+S378,"MAX31855 thermocouple amp + INA700 power monitor with on-die shunt: INA700 power monitor with on-die shunt measures `voltage`, which is exactly what fools MAX31855 thermocouple amp (mains hum, 50/60 hz pickup and supply ripple); both read `temperature-contact` but through different physics (Seebeck effect vs Silicon bandgap), so the disagreement between them is itself the measurement; together they reach `cost-per-use`, which no member reaches alone; `building-heat-loss`, `soil-water-volumetric`, `thermal-time-constant` also fire, but only because two parts happen to carry the same capability — two copies of one part would do the same, so that is discounted; time constants are `unknown` for at least one member, so nothing is claimed about their timing.","Wet-bulb heat-stress meter: The wick must stay wet and ventilated; a dry wick silently converges to the dry bulb and the danger signal disappears exactly when it matters. The correction is only as good as the co-location — INA700 power monitor with on-die shunt must sit in the same air/on the same surface as MAX31855 thermocouple amp or it is correcting a different place. And at least one time constant is unknown, so the two channels may not even be comparable in time."
15,2,S004|S381,MAX31855 thermocouple amp|BL0940 calibration-free mains metering IC,16.5,0.583,99.98,7.55,building-heat-loss|cost-per-use|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active,,temperature-contact,differential,S381>S004:mains-hum@1,prose,0,0.9,,unknown,none,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B014,S004+S381,,S010+S381,"MAX31855 thermocouple amp + BL0940 calibration-free mains metering IC: BL0940 calibration-free mains metering IC measures `voltage`, which is exactly what fools MAX31855 thermocouple amp (mains hum, 50/60 hz pickup and supply ripple); both read `temperature-contact` but through different physics (Seebeck effect vs Silicon bandgap/Thermoresistive), so the disagreement between them is itself the measurement; together they reach `cost-per-use`, which no member reaches alone; `building-heat-loss`, `soil-water-volumetric`, `thermal-time-constant` also fire, but only because two parts happen to carry the same capability — two copies of one part would do the same, so that is discounted; time constants are `unknown` for at least one member, so nothing is claimed about their timing.","Wet-bulb heat-stress meter: The wick must stay wet and ventilated; a dry wick silently converges to the dry bulb and the danger signal disappears exactly when it matters. The correction is only as good as the co-location — BL0940 calibration-free mains metering IC must sit in the same air/on the same surface as MAX31855 thermocouple amp or it is correcting a different place. And at least one time constant is unknown, so the two channels may not even be comparable in time."
16,2,S005|S378,MAX31865 RTD amplifier|INA700 power monitor with on-die shunt,19.0,0.583,99.98,7.55,building-heat-loss|cost-per-use|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active,,temperature-contact,differential,S378>S005:mains-hum@1,prose,0,0.9,,unknown,none,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B014,S005+S378,,,"MAX31865 RTD amplifier + INA700 power monitor with on-die shunt: INA700 power monitor with on-die shunt measures `voltage`, which is exactly what fools MAX31865 RTD amplifier (mains hum, 50/60 hz pickup and supply ripple); both read `temperature-contact` but through different physics (Thermoresistive vs Silicon bandgap), so the disagreement between them is itself the measurement; together they reach `cost-per-use`, which no member reaches alone; `building-heat-loss`, `soil-water-volumetric`, `thermal-time-constant` also fire, but only because two parts happen to carry the same capability — two copies of one part would do the same, so that is discounted; time constants are `unknown` for at least one member, so nothing is claimed about their timing.","Wet-bulb heat-stress meter: The wick must stay wet and ventilated; a dry wick silently converges to the dry bulb and the danger signal disappears exactly when it matters. The correction is only as good as the co-location — INA700 power monitor with on-die shunt must sit in the same air/on the same surface as MAX31865 RTD amplifier or it is correcting a different place. And at least one time constant is unknown, so the two channels may not even be comparable in time."
17,2,S089|S145,MAX9814 AGC mic amp|INA226/INA228 precision power,13,0.58133,99.978,9.0,cost-per-use|energy-waste-unoccupied|recording-authenticity,,,,,S145>S089:mains-hum@1,prose,0,1.0,1.125,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S089+S144,,,"MAX9814 AGC mic amp + INA226/INA228 precision power: INA226/INA228 precision power measures `voltage`, which is exactly what fools MAX9814 AGC mic amp (mains hum, 50/60 hz pickup and supply ripple); together they reach `cost-per-use`, `energy-waste-unoccupied`, `recording-authenticity`, which no member reaches alone; their time constants differ by 1.1 decades, scored as `separated` (a slow reference disciplining a fast channel).",ENF recording authenticator: Battery-powered outdoor recordings carry no hum; heavy audio compression notches 50 Hz out. Absence of match ≠ forgery — it is absence of evidence. The correction is only as good as the co-location — INA226/INA228 precision power must sit in the same air/on the same surface as MAX9814 AGC mic amp or it is correcting a different place.
18,2,S148|S209,PZEM-004T AC power module|KY-037/038 sound modules,12,0.58133,99.978,9.0,cost-per-use|energy-waste-unoccupied|recording-authenticity,,,,,S148>S209:mains-hum@1,prose,0,1.0,3.0,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S148+S209,,,"PZEM-004T AC power module + KY-037/038 sound modules: PZEM-004T AC power module measures `voltage`, which is exactly what fools KY-037/038 sound modules (mains hum, 50/60 hz pickup and supply ripple); together they reach `cost-per-use`, `energy-waste-unoccupied`, `recording-authenticity`, which no member reaches alone; their time constants differ by 3.0 decades, scored as `separated` (a slow reference disciplining a fast channel).",ENF recording authenticator: Battery-powered outdoor recordings carry no hum; heavy audio compression notches 50 Hz out. Absence of match ≠ forgery — it is absence of evidence. The correction is only as good as the co-location — PZEM-004T AC power module must sit in the same air/on the same surface as KY-037/038 sound modules or it is correcting a different place.
19,2,S223|S279,Tire pressure TPMS receivers|STC31 percent-level CO2,38.0,0.57467,99.977,6.0,radon-risk-rising|window-open-state,,,,,S223>S279:barometric-pressure@1|S223>S279:temperature-drift@1,prose,0,1.0,1.778,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B014,S223+S279,,S223+S280,"Tire pressure TPMS receivers + STC31 percent-level CO2: Tire pressure TPMS receivers measures `pressure-absolute`, which is exactly what fools STC31 percent-level CO2 (barometric pressure and altitude change), plus 1 further correction channel(s); together they reach `radon-risk-rising`, `window-open-state`, which no member reaches alone; their time constants differ by 1.8 decades, scored as `separated` (a slow reference disciplining a fast channel).",Window-state inferencer: A door to a well-ventilated hallway mimics it; mechanical ventilation kicking in mimics it too. Fingerprint each room's baseline first. The correction is only as good as the co-location — Tire pressure TPMS receivers must sit in the same air/on the same surface as STC31 percent-level CO2 or it is correcting a different place.
20,2,S089|S148,MAX9814 AGC mic amp|PZEM-004T AC power module,18,0.5729,99.974,9.0,cost-per-use|energy-waste-unoccupied|recording-authenticity,,,,,S148>S089:mains-hum@1,prose,0,1.0,4.602,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S089+S148,,,"MAX9814 AGC mic amp + PZEM-004T AC power module: PZEM-004T AC power module measures `voltage`, which is exactly what fools MAX9814 AGC mic amp (mains hum, 50/60 hz pickup and supply ripple); together they reach `cost-per-use`, `energy-waste-unoccupied`, `recording-authenticity`, which no member reaches alone; their time constants differ by 4.6 decades, scored as `separated` (a slow reference disciplining a fast channel).",ENF recording authenticator: Battery-powered outdoor recordings carry no hum; heavy audio compression notches 50 Hz out. Absence of match ≠ forgery — it is absence of evidence. The correction is only as good as the co-location — PZEM-004T AC power module must sit in the same air/on the same surface as MAX9814 AGC mic amp or it is correcting a different place.
21,2,S089|S257,MAX9814 AGC mic amp|Eastron SDM120-Modbus DIN energy meter,45.0,0.5729,99.974,9.0,cost-per-use|energy-waste-unoccupied|recording-authenticity,,,,,S257>S089:mains-hum@1,prose,0,1.0,4.602,separated,low,yes,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S089+S257,,,"MAX9814 AGC mic amp + Eastron SDM120-Modbus DIN energy meter: Eastron SDM120-Modbus DIN energy meter measures `voltage`, which is exactly what fools MAX9814 AGC mic amp (mains hum, 50/60 hz pickup and supply ripple); together they reach `cost-per-use`, `energy-waste-unoccupied`, `recording-authenticity`, which no member reaches alone; their time constants differ by 4.6 decades, scored as `separated` (a slow reference disciplining a fast channel).",ENF recording authenticator: Battery-powered outdoor recordings carry no hum; heavy audio compression notches 50 Hz out. Absence of match ≠ forgery — it is absence of evidence. The correction is only as good as the co-location — Eastron SDM120-Modbus DIN energy meter must sit in the same air/on the same surface as MAX9814 AGC mic amp or it is correcting a different place.
22,2,S145|S209,INA226/INA228 precision power|KY-037/038 sound modules,7,0.56669,99.973,9.0,cost-per-use|energy-waste-unoccupied|recording-authenticity,,,,,S145>S209:mains-hum@1,prose,0,1.0,0.477,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S144+S209,,,"INA226/INA228 precision power + KY-037/038 sound modules: INA226/INA228 precision power measures `voltage`, which is exactly what fools KY-037/038 sound modules (mains hum, 50/60 hz pickup and supply ripple); together they reach `cost-per-use`, `energy-waste-unoccupied`, `recording-authenticity`, which no member reaches alone; their time constants differ by 0.5 decades, scored as `separated` (a slow reference disciplining a fast channel).",ENF recording authenticator: Battery-powered outdoor recordings carry no hum; heavy audio compression notches 50 Hz out. Absence of match ≠ forgery — it is absence of evidence. The correction is only as good as the co-location — INA226/INA228 precision power must sit in the same air/on the same surface as KY-037/038 sound modules or it is correcting a different place.
23,2,S197|S329,US-100 ultrasonic w/ temp comp|FLIR Lepton 3.1R radiometric thermal module,184.0,0.56567,99.972,2.0,,sky-clear|stove-left-on,,,,S329>S197:sunlight-ir@1|S197>S329:target-geometry@1|S197>S329:temperature-drift@1,prose,0,0.825,3.477,separated,high,no,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S056+S329,,,"US-100 ultrasonic w/ temp comp + FLIR Lepton 3.1R radiometric thermal module: FLIR Lepton 3.1R radiometric thermal module measures `temperature-remote`, which is exactly what fools US-100 ultrasonic w/ temp comp (sunlight and ambient infrared), plus 2 further correction channel(s); together they open a new route to `sky-clear`, `stove-left-on`; their time constants differ by 3.5 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (multipath, reflections and ghost returns), so agreement between them is NOT independent confirmation. Sky thermometer cloud detector: Rain on the sensor window reads as total overcast; high thin cirrus reads half-way and fools the threshold. Angle it 10° off zenith with a rain shield. The correction is only as good as the co-location — FLIR Lepton 3.1R radiometric thermal module must sit in the same air/on the same surface as US-100 ultrasonic w/ temp comp or it is correcting a different place."
24,2,S023|S035,BME688 gas + climate AI|NDIR methane / hydrocarbon module,60,0.55996,99.971,0.0,,,,gas-concentration,differential,S023>S035:barometric-pressure@1|S023>S035:ethanol-voc@1|S023>S035:humidity@1|S023>S035:temperature-drift@1,prose,0,0.583,2.76,separated,high,no,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S023+S035,,,"BME688 gas + climate AI + NDIR methane / hydrocarbon module: BME688 gas + climate AI measures `pressure-absolute`, which is exactly what fools NDIR methane / hydrocarbon module (barometric pressure and altitude change), plus 3 further correction channel(s); both read `gas-concentration` but through different physics (Chemiresistive (MOX) vs NDIR), so the disagreement between them is itself the measurement; their time constants differ by 2.8 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (ethanol, solvents and general vocs, ambient humidity and condensation), so agreement between them is NOT independent confirmation. The correction is only as good as the co-location — BME688 gas + climate AI must sit in the same air/on the same surface as NDIR methane / hydrocarbon module or it is correcting a different place."
