key,name,pattern,requires,provides,provides_kind,question,domain,math,why,confound,example
air-density-live,Live air-density computer,compensation,pressure-absolute×1|temperature-contact×1|humidity-relative×1,air-density,emergent,What is the actual air density right now?,Weather & outdoors,ρ = (P_dry·M_d + P_vap·M_v)/(R·T); P_vap from RH × saturation pressure (Magnus),"Lift, combustion, anemometry and evaporation all secretly depend on air density, and everyone substitutes the sea-level constant. Three cheap measurements replace the guess with the number.","Sensor self-heating biases T by up to 1°C on combo boards (BME280's known flaw) — read fast, sleep long, or mount the thermometer separately.","One BME280 = drone payload margin on a hot day, carburettor tuning truth, and the correction every anemometer in this catalog silently needs."
feels-like,Feels-like temperature station,compensation,temperature-contact×1|humidity-relative×1|wind-speed×1,feels-like-temperature,emergent,"What does it feel like outside, honestly?",Weather & outdoors,"T<10°C: wind chill (Environment Canada 2001 formula); T>27°C and RH>40%: heat index (Rothfusz regression, invalid below that); between: dry bulb","Human heat loss depends on wind (convection) and humidity (evaporation limit), so the honest 'how does it feel' number is a three-sensor fusion — each sensor compensates a failure mode of the bare thermometer.",The anemometer must see YOUR microclimate: a sheltered patio and the rooftop differ by the whole wind-chill term.,AHT20 + cup anemometer = the difference between 'it says 2°C' and 'it will feel like −6 on the bike'.
et0-station,Evapotranspiration (irrigation truth),compensation,temperature-contact×1|humidity-relative×1|wind-speed×1|solar-irradiance×1,evapotranspiration,emergent,How much water did the garden lose to the sky today?,Plants & soil,FAO-56 Penman-Monteith ET₀ (or Hargreaves ET₀ = 0.0023·Ra·√ΔT·(T+17.8) when only temperature is available),How much to water is not how dry the soil FEELS — it is how much water the atmosphere pulled out. Four measurements close the energy balance agriculture actually runs on; this is the equation behind every commercial irrigation controller worth owning.,The radiation term dominates in summer: a dusty or shaded pyranometer silently halves ET₀ and you under-water in exactly the week it matters.,The weather-station cluster this catalog already prices at ~$35 becomes a closed-loop irrigation brain instead of a dashboard.
muon-baro,Pressure-corrected cosmic-ray telescope,compensation,ionising-radiation×1|pressure-absolute×1,cosmic-flux,route,How many cosmic rays are passing through?,Invisible worlds,"Corrected rate = raw rate × e^(β·(P−P₀)), β ≈ 0.2%/hPa for muons","Atmospheric pressure is absorber mass overhead: high pressure literally shields you from muons. Uncorrected, a cosmic-ray monitor is mostly a slow barometer — the compensation term is the difference between logging weather and logging space.",β depends on detector geometry and shielding; fit your own from a fortnight of data rather than trusting the textbook value.,"CosmicWatch + BMP390: see Forbush decreases (solar storms punching the cosmic flux down) from a desk, which is about as close to space weather as £160 gets."
ph-temp-honest,Temperature-honest pH,compensation,ph×1|temperature-contact×1,water-ph,route,Is the water too acidic or alkaline?,Water,"Nernst slope = −59.16 mV/pH × (T/298.15); correct slope, then report at 25°C","A pH electrode's millivolts-per-pH changes ~0.34%/°C by physics (Nernst: 0.198 mV/pH per °C), before any ageing. The error scales with distance from pH 7: a 15°C swing masquerades as ~0.05 pH per pH-unit from neutral — a real bias across the whole hydroponics band, and 0.15 pH by pH 4.","This corrects the ELECTRODE's slope, not the solution's real chemistry shift with temperature; report the measurement temperature alongside.",Any pH kit + DS18B20 in the same reservoir: the difference between chasing phantom pH drift and dosing on truth.
soil-moisture-tc,Temperature-corrected soil moisture,compensation,dielectric-constant×1|temperature-contact×1,plant-thirsty,route,Does this plant need water?,Plants & soil,"Correct raw counts by the probe's measured temperature coefficient (typ. 0.1–0.3%/°C), learned from a 24 h constant-moisture log",Capacitive probes drift with temperature through both electronics and soil dielectric physics. A day/night cycle reads as phantom watering; the co-located temperature channel subtracts it.,"Fast rain during the calibration day corrupts the learned coefficient — pick a dry 24 h, or learn it under a cover.","Capacitive v2 probe + DS18B20 at root depth: irrigation triggered by plants, not by sunrise."
snow-sonic,Temperature-honest snow depth,compensation,distance-point×1|temperature-contact×1,snow-depth,route,How deep is the snow?,Weather & outdoors,"depth = mount_height − range × c(T)/c₀, with c(T) = 331.3 + 0.606·T m/s","Sound speed moves 0.18%/°C, and snow season IS temperature swing: a −20°C morning reads ~14 cm short on a 2 m mount calibrated at room temperature. The air thermometer turns a toy into a gauge.","Fresh powder absorbs 40 kHz and returns nothing (the ultrasonic absorption wall); the US-100's onboard compensation helps but measure air temp on the mount arm, in shade, for the real correction.",US-100 on a fence post + shaded NTC: a SNOTEL-style depth record for £6.
pv-performance-ratio,Solar performance-ratio meter,compensation,solar-irradiance×1|current-dc×1|voltage×1,solar-performance,route,Is the solar array performing as it should?,Energy,PR = P_actual / (G/1000 × P_rated); healthy arrays hold PR 0.75–0.85,Low solar output has two innocent explanations — clouds and season — and one expensive one: degradation or soiling. Only dividing by measured irradiance separates them; PR is the number the O&M industry runs on.,The reference cell must share the panel's plane and its dirt: a clean sensor next to dirty panels reports the panels as broken (or a dirty sensor hides that they are).,"Pyranometer + INA228 on the string: 'the array is fine, it is November' versus 'string 2 lost 12% since summer — check for soiling.'"
fire-coincidence,Fire coincidence detector,cross-validation,smoke-present×1|co-present×1,fire-present,route,Is there a flame?,Security & safety,Alarm = smoke AND (CO rising ≥ 5 ppm over baseline within 10 min); either alone = advisory,"Combustion makes particles AND carbon monoxide; dust makes only particles; a blocked flue makes only CO. Requiring both physics to agree is how false alarms die — and a kit holding a smoke sensor plus a CO sensor gains a fire detector neither is alone. NOT a life-safety device — supplement, never replace, a certified alarm.","Smouldering PVC and some foams are CO-rich but smoke-poor early on: keep the single-channel advisory alerts, gate only the loud alarm.","MQ-2 + MQ-7 on one node: the Combination Grammar's coincidence gate, computed."
presence-two-physics,Two-physics presence verifier,cross-validation,someone-present×2,presence-verified,emergent,Is someone REALLY there — two physics agreeing?,Human presence,Verified = both channels TRUE within a 5 s window; disagreement = log + keep watching,"PIR false-triggers on HVAC heat plumes; radar false-triggers on fans and curtains; they almost never false-trigger TOGETHER, because the failure causes are uncorrelated physics. The field result in this atlas: 39 false triggers in 40 events alone, zero when cross-validated.",The computation counts part TYPES — it cannot check the physics differ. YOU must: two PIRs share failure causes and verify nothing; pick PIR + radar or thermal + ultrasound. Both channels must respond in seconds — CO2-based presence is minutes too slow for the coincidence window.,HC-SR501 + LD2410 gating a heating zone: comfort automation that never fires for an empty room.
apnea-two-channel,Two-channel breathing sentinel,cross-validation,respiration×1|sound-pressure×1,breathing-stopped,route,Has breathing become irregular or stopped?,Body & health,"Escalate when radar respiration amplitude < threshold AND breath-band audio (0.1–1 Hz envelope — infants breathe 0.5–1 Hz, adults 0.2–0.33 Hz) silent for > 20 s",A radar losing breathing might mean apnea — or a rolled-over sleeper out of beam. Breath sound is an independent physics witness; requiring both to vanish before escalating is the difference between a monitor and a 3 a.m. panic machine. NOT a medical device — an awareness aid.,A partner's breathing bleeds into both channels; per-bed placement and the radar's range gate must isolate one sleeper.,MR60BHA2 + INMP441 at the cot: the two-witness rule applied where false alarms hurt most.
enf-timestamp,ENF recording authenticator,cross-validation,sound-pressure×1|voltage×1,recording-authenticity,emergent,Was this recording really made when it claims?,Invisible worlds,Extract 50 Hz hum drift from audio; correlate against your logged grid-frequency history; genuine timestamps correlate r > 0.9 over minutes,"Mains frequency wanders identically across an entire grid, and every indoor recording embeds that wander as hum. Log the grid yourself and you hold a timestamp oracle — forensics labs run exactly this; nothing stops a bench copy.",Battery-powered outdoor recordings carry no hum; heavy audio compression notches 50 Hz out. Absence of match ≠ forgery — it is absence of evidence.,ZMPT101B logging Δf 24/7 + any mic: verify when a voice note was REALLY recorded. The Invisible Worlds domain earning its name.
leak-by-context,Occupancy-gated leak detector,context-gating,flow-liquid×1|someone-present×1,water-leak,route,Is water escaping where it shouldn't?,Water,Alarm when flow > 0 sustained > 10 min AND nobody-present > 30 min,Water flowing is normal; water flowing in an EMPTY house is a burst pipe. The presence channel converts a flow logger into a leak alarm with near-zero false positives — most false alarms are true readings in the wrong context.,Washing machines and irrigation run legitimately when out: whitelist their schedules or their flow signatures first.,"YF-S201 at the stopcock + any presence sensor: the insurance-claim-preventer, two parts, £7."
stove-watch,Stove-left-on sentinel,context-gating,temperature-remote×1|someone-present×1,stove-left-on,route,Was the hob left on with nobody there?,Security & safety,"Escalate when T_stove > 120°C AND kitchen empty > 15 min (advise), > 30 min (alarm)","A hot stove is cooking; a hot stove in an empty kitchen for half an hour is the leading cause of house fires. The gate is the entire product — elder-care systems charging £40/month are this rule. NOT a life-safety device — supplement, never replace, a certified alarm.","An IR thermometer sees one spot: aim at the hob centre, or use a thermal array for whole-hob coverage. Reflective pans under-read (emissivity again).",MLX90614 over the hob + PIR: peace of mind for anyone whose parent forgets the gas.
window-detect,Window-state inferencer,context-gating,temperature-contact×1|co2-concentration×1,window-open-state,emergent,Is a window open right now?,Air & environment,"Open = CO2 decay rate jumps > 3× baseline ACH, confirmed by an indoor temperature slew when indoor–outdoor ΔT exists (mild weather: no slew — trust the CO2 channel alone)","An open window is invisible to a thermostat but blindingly obvious in the CO2 decay curve — ventilation physics changes instantly. No contact sensor on the window, no install visit: the building's own air betrays the state.",A door to a well-ventilated hallway mimics it; mechanical ventilation kicking in mimics it too. Fingerprint each room's baseline first.,"SCD41 + any thermometer: 'heating on + window open' detection for every room, zero window hardware — the energy-retrofit killer feature."
badge-attribution,Badge-in attribution gate,context-gating,identity-token×1|occupancy-signal×1,who-is-it,route,Which specific person is this?,Human presence,Attribute presence to token holder when RFID event and presence onset agree within 30 s; decay attribution when presence lapses,A badge reader knows WHO but not whether they stayed; a presence sensor knows SOMEONE is there but not who. The temporal join is identification without a camera — the privacy-preserving route to 'who is in the workshop'.,"Tailgating: two people, one badge. The gate attributes honestly only when presence count ≈ badge count — pair with a people counter where it matters.",RC522 on the door + LD2410 inside: tool-room accountability with no lens and no face database.
radon-fast-proxy,Radon early-warning proxy,context-gating,pressure-absolute×1|air-changes-hour×1,radon-risk-rising,emergent,"Is radon LIKELY rising, before the slow meter can say?",Air & environment,Risk rising when P falling > 3 hPa/6 h (soil-gas pressure gradient reverses) AND measured ACH < 0.4,"Radon entry is driven by the pressure difference between soil gas and the house, and its accumulation by ventilation. Both drivers are measurable in MINUTES — hours before a counting-statistics radon meter can confirm (√N wall, Anti-Catalog). The proxy tells you when to ventilate; the RD200 tells you if it worked. A chained edge: it consumes the ACH instrument.","It predicts the DRIVERS, not the gas: a sealed slab breaks the correlation. Calibrate the proxy against a real radon meter for one month per building.","BMP390 + the CO2-decay ACH meter: open the basement vent tonight, not next week when the meter finally averages up."
unoccupied-burn,Empty-room energy auditor,context-gating,power-now×1|someone-present×1,energy-waste-unoccupied,emergent,How much energy do empty rooms burn here?,Energy,"Waste = ∫ P dt while unoccupied, per room per week; rank rooms by wasted kWh",The cheapest kilowatt-hour is the one an empty room did not burn. Power alone is a bill; presence alone is a log; their intersection is a ranked to-do list with payback periods — the number every retrofit business case is built on.,Fridges and servers SHOULD run unoccupied: subtract each room's always-on baseline first or the kitchen wins every audit unfairly.,BL0940 per circuit + PIR per room: 'the heater in the spare room burned 31 kWh for nobody last month' — arguments end.
ach-co2-decay,CO2-decay ventilation meter,temporal,co2-concentration×1,air-changes-hour,emergent,How many air changes per hour does this room really get?,Air & environment,"ACH = ln((C₁−C_out)/(C₂−C_out)) / Δt[h], C_out ≈ 420 ppm, after the room empties","When people leave, CO2 decays exponentially at exactly the air-change rate — the building tests itself every evening for free. ACH is the number building science runs on, normally bought with a £2,000 blower-door test.","Anyone re-entering mid-decay corrupts the fit (gate on presence); wind-driven infiltration makes ACH weather-dependent, so log the fits against wind and you get the infiltration curve as a bonus.","One SCD41 and an empty meeting room: rate every room in the house in a weekend — Derived Quantities row 47, computed."
co2-room-volume,CO2 tape-measure,temporal,co2-concentration×1,room-volume-estimate,emergent,"How big is this room, measured by breathing in it?",Navigation & space,"V = N·q / (d[CO2]/dt) with q ≈ 18 L/h CO2 per seated adult, sealed room, short window",A known source rate and a measured concentration slope give the mixing volume directly — one seated adult IS the calibrated source. Measuring a room's size by breathing in it is the kind of inversion this atlas exists for.,"Leaky rooms read big (the slope flattens); stratification before mixing reads small. ±20% is the honest expectation — it is a tape-measure, not a laser.",SCD41 + one person + a stopwatch: Derived Instruments' CO2 tape-measure as a party trick with a real use — sizing rooms for ventilation math.
grid-frequency-watch,Grid-stress seismograph,temporal,voltage×1,grid-stress,emergent,Is the electricity grid under stress at this moment?,Energy,f from zero-crossing timestamps; Δf from 50.000 Hz ∝ generation−load imbalance; df/dt during events = inertia signal,"Grid frequency is the same number across an entire synchronous area, and its wander is the real-time balance of national generation versus load. One socket makes you a grid observer — every power station outage twitches your trace.",Cheap zero-crossing detectors jitter with waveform distortion; average over seconds. The ESP32's crystal drifts with temperature — discipline it against NTP or GPS PPS for absolute honesty.,"ZMPT101B + timer capture: watch a 1 GW plant trip from your kitchen, and timestamp it — the sensor is the entire national grid."
inrush-signature,Motor-start health tracker,temporal,current-ac×1,inrush-health,emergent,Is the compressor/motor getting harder to start?,Machine health,"Trend inrush peak, spin-up time, and start count per day; rising start-time at constant voltage = mechanical or capacitor degradation","A compressor tells you it is dying at every start — the inrush transient stretches and grows for months before the hard failure. One current sensor plus memory turns the scariest appliance failure (fridge, heat pump, well pump) into a scheduled repair.",Supply-voltage sag stretches starts too: log voltage at the same instant or a brown-out week reads as imminent death.,"SCT-013 on the compressor feed: 'the start capacitor is going — swap it this month' for £4, versus the £300 emergency call-out."
house-thermal-constant,Building thermal time-constant,temporal,temperature-contact×2,thermal-time-constant,emergent,How long does this building hold its heat?,Energy,τ from exponential fit of indoor T decay after heating stops (calm night); T(t) = T_out + (T₀−T_out)·e^(−t/τ),"τ — hours to lose 63% of the indoor–outdoor difference — is the building's honest thermal quality in ONE number, and every heating-off night measures it for free. The outdoor probe pins T_out; without it the fit is ill-conditioned on a single night's decay. Insulation upgrades change τ; receipts don't.","Solar gain after sunrise and wind both bend the curve: fit only calm, dark hours, and log wind to know which nights to trust.","Two DS18B20s, one in and one out, logged: τ before and after loft insulation IS the before/after — physics as a receipts-checker."
nilm-signature,Appliance fingerprint disaggregator,temporal,current-ac×1,which-appliance,route,Which appliance just turned on?,Energy,"Event detection on ΔI_rms edges; classify by (ΔI_rms, inrush shape, harmonic content, duration) — the full P/Q signature plane needs the voltage channel too","Every appliance switches with a signature — the kettle's clean 3 kW step, the fridge's inrush spike, the washer's drum rhythm. One meter plus time separates them; that is NILM, and it is the canonical proof that time is the cheapest sensor multiplier.","Two similar-wattage resistive loads are indistinguishable from one point — the toaster/kettle confusion is fundamental, not a firmware bug.","BL0940 at the consumer unit: an itemised electricity bill from one sensor, no per-plug hardware."
liquid-id-effusivity,Thermal-effusivity liquid identifier,active-probe,temperature-contact×1,material-type,route,What material is this?,Materials & chemistry,"Pulse a co-located resistor; ΔT(t) of the sensor tracks 1/e = 1/√(kρc); water e≈1580, oil ≈500, air ≈5.5 W·s^½/m²K","How fast a heated probe cools is a direct read of what surrounds it — water, oil, syrup and air separate by 3× steps in effusivity. The sensor supplies its own stimulus, so nothing else is needed: one bead, one resistor, one GPIO.",Convection in thin liquids adds a flow term to the pure conduction model — keep the pulse short (<2 s) and the energy small.,"NTC + resistor in epoxy: is the tank water or diesel, is the fryer oil degraded (e shifts with polymerisation) — Derived Instruments row 3, computed."
sonic-thermometer,Path-averaged sonic thermometer,active-probe,ultrasound×1,path-averaged-temperature,emergent,What is the average temperature along that whole path?,Air & environment,T = ((d/t_flight)² /400 approx from c² = 403·T[K]; practically T[°C] = (d/t − 331.3)/0.606 at fixed d,"Fix the distance and a ranging sensor inverts into a thermometer that measures the AVERAGE temperature of the whole air path — no radiation error, no thermal mass, millisecond response. This is how professional sonic anemometers measure temperature.","One-way paths see a ±v/c wind error — cancel with two opposite paths, which then measure the wind too. An echo (out-and-back) path cancels the first-order term automatically, leaving only (v/c)². Humidity shifts c ~0.3%.","US-100 facing a wall at exactly 1.000 m: a thermometer with no thermometer in it — Derived Quantities row 37, computed."
helmholtz-level,Helmholtz through-wall fill gauge,active-probe,sound-pressure×1,container-fullness,route,How full is it?,Objects & assets,"f = (c/2π)·√(A/(V·L)): resonant frequency rises as headspace V shrinks. Chirp and find the peak — needs any small speaker or buzzer as the source (glue hardware, not a sensing capability).","Every container is a bottle you can blow across. A speaker chirps, a mic finds the resonance, and headspace volume falls out of the frequency — through the wall, no contact with the contents, movable between containers in seconds.",Works on the AIR space: a brim-full rigid container has no resonator left; foam on liquids damps the peak. Needs a port or flexible wall to couple.,"MAX98357A speaker + INMP441: how full is the rice jar, the fuel can, the sealed drum — Derived Instruments row 4, computed."
tdoa-direction,Acoustic direction finder,triangulation,sound-pressure×2,sound-direction,emergent,Which direction did that sound come from?,Security & safety,θ = arcsin(Δt·343/d) from the arrival-time difference across a known baseline d,"Two ears is all direction takes: sound crosses a 20 cm baseline in 580 µs, and I2S mics timestamp well inside that. Add a third mic and bearing becomes position — glass break, bark, knock: located, not just detected.","Echoes in hard rooms produce phantom bearings — correlate on the FIRST arrival only; the mics must share one clock (one I2S bus, not two ESP32s).",2× INMP441 on one bus: 'the sound came from the window side' for £6 — the difference between an alert and actionable information.
beam-speed-trap,Two-beam speed trap,triangulation,proximity×2,vehicle-speed,route,How fast are vehicles going past?,Security & safety,v = d/Δt between two beam-break timestamps a known distance apart; ±1% with µs timestamps,"Speed is distance over time, and two interrupted beams measure exactly that — no radar, no calibration, no Doppler ambiguity. Direction comes free from beam order; length from occlusion time; that is classify-count-and-speed from two photogates.","Works where traffic passes one at a time; two overlapping vehicles merge into one long occlusion. The two trigger points must actually see the vehicle — optical or ultrasonic beams, not magnet-dependent reed switches. Rain sensitivity depends on beam quality.","2× E18-D80NK across the drive, 2 m apart: evidence-grade 'how fast do they really take our street', for £6."
door-baro-locator,Barometric door locator,triangulation,pressure-absolute×3,which-door-opened,emergent,"Which door, on which floor, just opened?",Human presence,A door swing is a ~0.3–3 Pa transient; arrival order + amplitude ratio across 3 synced nodes localises the source,"Every door pumps a pressure wave through the whole house, and modern barometers resolve single pascals. Three nodes with a shared timebase triangulate WHICH door — whole-home entry awareness with no sensor on any door and nothing visible anywhere.","HVAC blower starts and wind gusts through vents make similar transients: fingerprint each door's signature (fast attack, slow decay) during a quiet week first.","3× BMP390 + ESP-NOW timestamps: Derived Instruments row 1 — invisible security, computed."
pipe-leak-correlator,Acoustic pipe-leak correlator,triangulation,sound-structural×2,leak-location,emergent,WHERE along the pipe is the leak?,Water,"Leak position from cross-correlation lag: x = (L − v·Δt)/2, v ≈ 1200–1400 m/s in water-filled metal pipe","A pressurised leak hisses continuously INTO the pipe wall, and the pipe is a waveguide. Two contact pickups bracketing the run cross-correlate to the metre — this is exactly the £10k instrument water utilities carry, in principle and in math.",Plastic pipe attenuates and slows the wave (v drops to ~300–500 m/s and range shrinks): calibrate v with a deliberate tap at a known point first.,"2× piezo discs clamped 20 m apart: dig ONE hole where the correlation says, not five along the run."
desk-utilisation,Space-utilisation truth map,fleet,occupancy-signal×3,space-utilisation-map,emergent,Which desks and rooms actually get used?,Human presence,Per-zone occupied-hours histograms; utilisation = occupied / available hours per zone per week,One presence sensor answers 'is anyone here'; a fleet answers 'which spaces earn their rent' — a spatial pattern invisible from any single point. Desk-booking vendors charge per-desk-per-month for exactly this histogram.,"Sensor placement bias: a PIR facing a walkway counts traffic as occupancy. Aim each zone's sensor at the seat, not the aisle.",3+ PIR/radar nodes over ESP-NOW: 'the phone booths are rammed and the big meeting room is empty 92% of the time' — floor-plan decisions from data.
microclimate-grid,Thermal microclimate mapper,fleet,temperature-contact×3,thermal-map,emergent,"Where are the cold corners, draughts and damp walls?",Air & environment,Simultaneous ΔT across ≥3 fixed points; persistent cold spots + dew-point proximity = condensation/draught candidates,"A single thermostat reads one point of a field that varies 5°C across a room. Three synchronised cheap probes see the STRUCTURE: the draught path, the cold wall, the stratification layer — where to point insulation money.","Uncalibrated probes differ by ±0.5°C: swap positions for one day and any offset that follows the probe is the probe, not the room.",3× DS18B20 on one bus: find the real reason the study is always cold before paying for anything.
baro-gps-altitude,Fast-and-absolute altimeter,complementary,pressure-absolute×1|position-global×1,how-high,route,What altitude or floor am I on?,Navigation & space,"Complementary filter: alt = LP(GPS_alt) + HP(baro_alt); baro gives cm-resolution dynamics, GPS pins the absolute and cancels weather drift",The barometer is precise but wanders with the weather; GPS altitude is absolute but noisy and slow. Each is the other's missing half — split them by frequency and you get an altimeter neither can be alone. This is how every drone does it.,Indoor GPS starves the absolute reference and the filter slowly inherits the weather drift; re-anchor when the fix returns.,"BMP390 + NEO-6M: floor-accurate altitude outdoors, stair-step resolution on the move."
sleep-two-signal,Contactless sleep-stage estimator,complementary,respiration×1|acceleration×1,sleep-stage-proxy,route,"What sleep stage is this, roughly?",Body & health,"Actigraphy (movement bouts) × respiration regularity: still+regular ≈ deep, still+variable ≈ REM, moving ≈ light/wake","Movement alone cannot see REM (body still, breathing chaotic); breathing alone cannot date sleep onset (posture shifts). Together they reproduce the consumer sleep-staging that wearables sell — with nothing worn.","Two sleepers in the beam mix signals (range-gate the radar per side); it is a stage PROXY, not polysomnography, and honest naming keeps it useful.","MR60BHA2 + a bed-frame IMU: the £30 nightstand sleep lab, no wristband to forget to charge."
pm-gps-dosimeter,Personal exposure dosimeter,complementary,particulate-mass×1|position-global×1,personal-exposure-dose,emergent,"What did YOU actually breathe today, block by block?",Body & health,Dose = ∫ C(t)·V̇ dt segmented by GPS trace; map µg-minutes to street segments,City air averages hide the truth: half a day's particulate dose arrives in the ten minutes beside the main road. Position turns a concentration logger into a personal dosimeter and a WHERE-map — the number epidemiology wants and nobody measures.,Optical PM counters over-read in fog and >75% RH (the known humidity wall): log RH and flag humid segments rather than believing them.,"PMS5003 + NEO-6M in a bag: after one week you will re-route your cycle commute — SYNERGY's five-star AIR×BODY cell, computed."
