rank,objective,sensor_ids,sensors,n_parts,usd,pins,declared,emergent,score,lift,per_part,per_dollar,per_pin,emergent_keys,new_routes,fired_edges,notes,reasoning
11,score,S023|S093|S144|S179|S182|S206,BME688 gas + climate AI|Ultrasonic mic experiments|INA219 current/power monitor|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802|MPU-9250 9-axis (legacy),6,65.5,5,63,9,72,55,12.0,1.099,14.4,air-density|energy-waste-unoccupied|grid-stress|path-averaged-temperature|presence-verified|recording-authenticity|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,breathing-stopped|compost-active|material-type|snow-depth,air-density-live|apnea-two-channel|bearing-thermal|compost-core|enf-timestamp|gait-corridor|grid-frequency-watch|helmholtz-level|house-thermal-constant|liquid-id-effusivity|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|sonic-thermometer|unoccupied-burn,"PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Ultrasonic mic experiments|a level translator is needed — not a 3.3V-native signal — MPU-9250 9-axis (legacy)","BME688 gas + climate AI + Ultrasonic mic experiments + INA219 current/power monitor + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802 + MPU-9250 9-axis (legacy): the set fires Two-channel breathing sentinel, Bearing temperature-rise monitor, Compost activity meter and 8 more, unlocking energy-waste-unoccupied, presence-verified, recording-authenticity, soil-water-volumetric, plus 4 new routes to outcomes it declares nowhere — 72 outcomes together against 17 for its best single member, a lift of 55. It costs 5 ESP32 pins and $65.5; it spans Analog + I2C + UART. Caveat: PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Ultrasonic mic experiments."
12,score,S007|S023|S144|S179|S182|S206,MLX90614 IR thermometer|BME688 gas + climate AI|INA219 current/power monitor|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802|MPU-9250 9-axis (legacy),6,67.5,4,65,7,72,55,12.0,1.067,18.0,air-density|energy-waste-unoccupied|grid-stress|presence-verified|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,compost-active|material-type|snow-depth,air-density-live|bearing-thermal|cloud-cover-ir|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|liquid-id-effusivity|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|stove-watch|unoccupied-burn,a level translator is needed — not a 3.3V-native signal — MPU-9250 9-axis (legacy),"MLX90614 IR thermometer + BME688 gas + climate AI + INA219 current/power monitor + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802 + MPU-9250 9-axis (legacy): the set fires Bearing temperature-rise monitor, Sky thermometer cloud detector, Compost activity meter and 7 more, unlocking energy-waste-unoccupied, presence-verified, soil-water-volumetric, thermal-time-constant, plus 3 new routes to outcomes it declares nowhere — 72 outcomes together against 17 for its best single member, a lift of 55. It costs 4 ESP32 pins and $67.5; it spans I2C + UART. Caveat: a level translator is needed — not a 3.3V-native signal — MPU-9250 9-axis (legacy)."
13,score,S023|S178|S179|S182|S206|S381,BME688 gas + climate AI|LDC1612 inductive sensing|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802|MPU-9250 9-axis (legacy)|BL0940 calibration-free mains metering IC,6,67.5,6,61,11,72,55,12.0,1.067,12.0,air-density|building-heat-loss|cost-per-use|energy-waste-unoccupied|grid-stress|inrush-health|presence-verified|soil-water-volumetric|thermal-map|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active|power-quality|snow-depth,air-density-live|bearing-thermal|building-ua|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|inrush-signature|liquid-id-effusivity|microclimate-grid|nilm-signature|pf-power-quality|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|unoccupied-burn|which-room-energy,a level translator is needed — not a 3.3V-native signal — MPU-9250 9-axis (legacy),"BME688 gas + climate AI + LDC1612 inductive sensing + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802 + MPU-9250 9-axis (legacy) + BL0940 calibration-free mains metering IC: the set fires Bearing temperature-rise monitor, Whole-building heat-loss coefficient, Compost activity meter and 9 more, unlocking building-heat-loss, cost-per-use, energy-waste-unoccupied, presence-verified, plus 4 new routes to outcomes it declares nowhere — 72 outcomes together against 17 for its best single member, a lift of 55. It costs 6 ESP32 pins and $67.5; it spans I2C + UART. Caveat: a level translator is needed — not a 3.3V-native signal — MPU-9250 9-axis (legacy)."
14,score,S023|S179|S182|S206|S210|S381,BME688 gas + climate AI|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802|MPU-9250 9-axis (legacy)|DS18B20 water temp + flow combo|BL0940 calibration-free mains metering IC,6,68.5,7,61,11,72,55,12.0,1.051,10.286,air-density|building-heat-loss|cost-per-use|energy-waste-unoccupied|grid-stress|inrush-health|presence-verified|soil-water-volumetric|thermal-map|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active|material-type|power-quality|snow-depth|water-leak,air-density-live|bearing-thermal|building-ua|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|inrush-signature|leak-by-context|liquid-id-effusivity|loop-heat-meter|microclimate-grid|nilm-signature|pf-power-quality|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|unoccupied-burn|which-room-energy,a level translator is needed — not a 3.3V-native signal — MPU-9250 9-axis (legacy),"BME688 gas + climate AI + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802 + MPU-9250 9-axis (legacy) + DS18B20 water temp + flow combo + BL0940 calibration-free mains metering IC: the set fires Bearing temperature-rise monitor, Whole-building heat-loss coefficient, Compost activity meter and 11 more, unlocking building-heat-loss, cost-per-use, energy-waste-unoccupied, presence-verified, plus 6 new routes to outcomes it declares nowhere — 72 outcomes together against 17 for its best single member, a lift of 55. It costs 7 ESP32 pins and $68.5; it spans 1-Wire + I2C + UART. Caveat: a level translator is needed — not a 3.3V-native signal — MPU-9250 9-axis (legacy)."
15,score,S001|S023|S079|S144|S179|S182,DS18B20 digital temp probe|BME688 gas + climate AI|ICM-20948 9-axis IMU|INA219 current/power monitor|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802,6,69.0,5,65,7,72,55,12.0,1.043,14.4,air-density|energy-waste-unoccupied|grid-stress|presence-verified|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|material-type|snow-depth,air-density-live|bearing-thermal|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|liquid-id-effusivity|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|unoccupied-burn,,"DS18B20 digital temp probe + BME688 gas + climate AI + ICM-20948 9-axis IMU + INA219 current/power monitor + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802: the set fires Bearing temperature-rise monitor, Compost activity meter, Building thermal time-constant and 6 more, unlocking energy-waste-unoccupied, presence-verified, soil-water-volumetric, thermal-time-constant, plus 3 new routes to outcomes it declares nowhere — 72 outcomes together against 17 for its best single member, a lift of 55. It costs 5 ESP32 pins and $69; it spans 1-Wire + I2C + UART."
16,score,S023|S144|S179|S182|S206|S210,BME688 gas + climate AI|INA219 current/power monitor|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802|MPU-9250 9-axis (legacy)|DS18B20 water temp + flow combo,6,69.5,5,64,8,72,55,12.0,1.036,14.4,air-density|energy-waste-unoccupied|grid-stress|presence-verified|soil-water-volumetric|thermal-map|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active|material-type|snow-depth|water-leak,air-density-live|bearing-thermal|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|leak-by-context|liquid-id-effusivity|loop-heat-meter|microclimate-grid|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|unoccupied-burn,a level translator is needed — not a 3.3V-native signal — MPU-9250 9-axis (legacy),"BME688 gas + climate AI + INA219 current/power monitor + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802 + MPU-9250 9-axis (legacy) + DS18B20 water temp + flow combo: the set fires Bearing temperature-rise monitor, Compost activity meter, Building thermal time-constant and 9 more, unlocking energy-waste-unoccupied, presence-verified, soil-water-volumetric, thermal-map, plus 5 new routes to outcomes it declares nowhere — 72 outcomes together against 17 for its best single member, a lift of 55. It costs 5 ESP32 pins and $69.5; it spans 1-Wire + I2C + UART. Caveat: a level translator is needed — not a 3.3V-native signal — MPU-9250 9-axis (legacy)."
17,score,S023|S144|S179|S182|S206|S232,BME688 gas + climate AI|INA219 current/power monitor|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802|MPU-9250 9-axis (legacy)|Acoustic emission (ultrasonic contact),6,69.5,6,64,8,72,55,12.0,1.036,12.0,air-density|energy-waste-unoccupied|grid-stress|path-averaged-temperature|presence-verified|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,compost-active|material-type|snow-depth,air-density-live|bearing-thermal|compost-core|gait-corridor|grid-frequency-watch|hive-triple|house-thermal-constant|liquid-id-effusivity|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|sonic-thermometer|unoccupied-burn,"PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Acoustic emission (ultrasonic contact)|a level translator is needed — not a 3.3V-native signal — MPU-9250 9-axis (legacy)","BME688 gas + climate AI + INA219 current/power monitor + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802 + MPU-9250 9-axis (legacy) + Acoustic emission (ultrasonic contact): the set fires Bearing temperature-rise monitor, Compost activity meter, Hive vital-signs fusion and 7 more, unlocking energy-waste-unoccupied, presence-verified, soil-water-volumetric, thermal-time-constant, plus 3 new routes to outcomes it declares nowhere — 72 outcomes together against 17 for its best single member, a lift of 55. It costs 6 ESP32 pins and $69.5; it spans Analog + I2C + UART. Caveat: PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Acoustic emission (ultrasonic contact)."
18,score,S023|S178|S179|S182|S210|S381,BME688 gas + climate AI|LDC1612 inductive sensing|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802|DS18B20 water temp + flow combo|BL0940 calibration-free mains metering IC,6,69.5,7,61,11,72,55,12.0,1.036,10.286,air-density|building-heat-loss|cost-per-use|energy-waste-unoccupied|grid-stress|inrush-health|presence-verified|soil-water-volumetric|thermal-map|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active|power-quality|snow-depth|water-leak,air-density-live|bearing-thermal|building-ua|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|inrush-signature|leak-by-context|liquid-id-effusivity|loop-heat-meter|microclimate-grid|nilm-signature|pf-power-quality|presence-two-physics|psychrometric-wetbulb|snow-sonic|soil-heat-pulse|unoccupied-burn|which-room-energy,,"BME688 gas + climate AI + LDC1612 inductive sensing + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802 + DS18B20 water temp + flow combo + BL0940 calibration-free mains metering IC: the set fires Bearing temperature-rise monitor, Whole-building heat-loss coefficient, Compost activity meter and 10 more, unlocking building-heat-loss, cost-per-use, energy-waste-unoccupied, presence-verified, plus 5 new routes to outcomes it declares nowhere — 72 outcomes together against 17 for its best single member, a lift of 55. It costs 7 ESP32 pins and $69.5; it spans 1-Wire + I2C + UART."
19,score,S023|S169|S179|S182|S206|S381,BME688 gas + climate AI|Grove Vision AI v2|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802|MPU-9250 9-axis (legacy)|BL0940 calibration-free mains metering IC,6,74.5,6,61,11,72,55,12.0,0.966,12.0,air-density|building-heat-loss|cost-per-use|energy-waste-unoccupied|grid-stress|inrush-health|presence-verified|soil-water-volumetric|thermal-map|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active|power-quality|snow-depth,air-density-live|bearing-thermal|building-ua|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|inrush-signature|liquid-id-effusivity|microclimate-grid|nilm-signature|pf-power-quality|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|unoccupied-burn|which-room-energy,"PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Grove Vision AI v2|a level translator is needed — not a 3.3V-native signal — MPU-9250 9-axis (legacy)","BME688 gas + climate AI + Grove Vision AI v2 + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802 + MPU-9250 9-axis (legacy) + BL0940 calibration-free mains metering IC: the set fires Bearing temperature-rise monitor, Whole-building heat-loss coefficient, Compost activity meter and 9 more, unlocking building-heat-loss, cost-per-use, energy-waste-unoccupied, presence-verified, plus 4 new routes to outcomes it declares nowhere — 72 outcomes together against 17 for its best single member, a lift of 55. It costs 6 ESP32 pins and $74.5; it spans I2C + UART. Caveat: PSRAM wanted — an S3 or WROVER variant, not a plain ESP32 — Grove Vision AI v2."
20,score,S023|S079|S179|S182|S210|S381,BME688 gas + climate AI|ICM-20948 9-axis IMU|DFRobot Gravity mmWave presence radar|Scale-hacking: NAU7802|DS18B20 water temp + flow combo|BL0940 calibration-free mains metering IC,6,75.5,7,61,11,72,55,12.0,0.954,10.286,air-density|building-heat-loss|cost-per-use|energy-waste-unoccupied|grid-stress|inrush-health|presence-verified|soil-water-volumetric|thermal-map|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active|material-type|power-quality|snow-depth|water-leak,air-density-live|bearing-thermal|building-ua|compost-core|gait-corridor|grid-frequency-watch|house-thermal-constant|inrush-signature|leak-by-context|liquid-id-effusivity|loop-heat-meter|microclimate-grid|nilm-signature|pf-power-quality|presence-two-physics|psychrometric-wetbulb|sleep-two-signal|snow-sonic|soil-heat-pulse|unoccupied-burn|which-room-energy,,"BME688 gas + climate AI + ICM-20948 9-axis IMU + DFRobot Gravity mmWave presence radar + Scale-hacking: NAU7802 + DS18B20 water temp + flow combo + BL0940 calibration-free mains metering IC: the set fires Bearing temperature-rise monitor, Whole-building heat-loss coefficient, Compost activity meter and 11 more, unlocking building-heat-loss, cost-per-use, energy-waste-unoccupied, presence-verified, plus 6 new routes to outcomes it declares nowhere — 72 outcomes together against 17 for its best single member, a lift of 55. It costs 7 ESP32 pins and $75.5; it spans 1-Wire + I2C + UART."
