sensor_id,sensor,usd,category,n_outcomes,outcomes_per_dollar,outcome_keys
S007,MLX90614 IR thermometer,8,Temperature,12,1.5,bearing-failing|body-temp-trend|cooking-detected|frost-tonight|livestock-wellbeing|machine-running|object-temperature|overheating|sky-clear|someone-present|stove-left-on|water-hot-enough
S075,BNO086 high-perf fusion IMU,22,Motion & Vibration,12,0.55,am-i-level|gait-quality|how-far-travelled|joint-angle|object-dropped|object-moved|posture|returned-to-spot|step-count|structure-moved|tremor-present|which-way-facing
S076,ADXL345 accelerometer,3,Motion & Vibration,12,4.0,am-i-level|bearing-failing|door-state|drift-from-baseline|imbalance|intrusion|machine-duty-cycle|machine-running|object-dropped|object-moved|step-count|tamper-detected
S185,Weight-in-motion: piezo cable,15,Motion & Vibration,12,0.8,crossed-boundary|entered-or-left|gait-quality|intrusion|machine-duty-cycle|object-count|perimeter-crossed|queue-length|someone-present|step-count|vehicle-approaching|vehicle-speed
S205,BMI270 wearable IMU,8,Motion & Vibration,12,1.5,am-i-level|gait-quality|how-fast-moving|machine-running|object-dropped|object-moved|person-fell|posture|sleep-stage-proxy|step-count|tamper-detected|tremor-present
S206,MPU-9250 9-axis (legacy),8,Motion & Vibration,12,1.5,am-i-level|how-fast-moving|machine-running|magnetic-anomaly|object-dropped|object-moved|posture|returned-to-spot|step-count|structure-moved|tremor-present|which-way-facing
S212,INA3221 triple-channel power,4,Power & Electrical,12,3.0,abnormal-current|battery-charge|battery-health|device-left-on|drift-from-baseline|energy-budget-node|machine-running|machine-state|phantom-load|power-now|solar-performance|which-appliance
S215,Draw-wire (string pot) sensor,15,Position & Rotation,12,0.8,container-fullness|cycle-complete|door-state|growth-rate|how-far-travelled|joint-angle|machine-state|object-moved|returned-to-spot|snow-depth|structure-moved|tank-level
S079,ICM-20948 9-axis IMU,15,Motion & Vibration,11,0.73,am-i-level|gait-quality|how-fast-moving|joint-angle|magnetic-anomaly|object-moved|posture|returned-to-spot|step-count|structure-moved|which-way-facing
S084,A3144 / SS49E Hall switches,0.4,Magnetic & Compass,11,22.0,abnormal-current|cycle-complete|door-state|flow-rate|machine-running|object-count|object-present|rotation-speed|tamper-detected|water-used-total|wind-conditions
S086,MLX90393 wide-range 3D mag,8,Magnetic & Compass,11,1.38,abnormal-current|door-state|hidden-wiring|machine-state|magnetic-anomaly|object-moved|object-present|rotation-speed|tamper-detected|tank-level|which-way-facing
S088,ICS-43434 I2S mic,5,Sound & Audio,11,2.2,air-leak|bearing-failing|cooking-detected|drift-from-baseline|glass-broken|intrusion|machine-running|person-asleep|someone-present|unusual-sound|which-appliance
S096,Geophone SM-24,30,Motion & Vibration,11,0.37,crossed-boundary|drift-from-baseline|intrusion|machine-running|object-count|perimeter-crossed|someone-present|structure-moved|unusual-sound|vehicle-approaching|vehicle-speed
S100,Velostat pressure sheets,5,Force & Weight,11,2.2,crossed-boundary|gait-quality|no-movement-alarm|object-present|occupancy-duration|person-fell|posture|sleep-stage-proxy|someone-present|step-count|where-in-room
S168,HuskyLens AI camera,45,Cameras & Vision,11,0.24,colour-match|crossed-boundary|entered-or-left|how-many-people|object-count|object-genuine|object-identity|object-present|obstacle-ahead|someone-present|who-is-it
S181,Time-of-flight gesture radar 60GHz,110,Presence & Occupancy,11,0.1,breathing-rate|heart-rate|how-fast-moving|how-many-people|map-surroundings|obstacle-ahead|person-fell|someone-present|someone-still-present|tremor-present|where-in-room
S210,DS18B20 water temp + flow combo,10,Water & Liquid,11,1.1,cycle-complete|energy-cost|filter-clogged|flow-rate|machine-running|pump-dry|solar-performance|thermal-energy-moved|water-hot-enough|water-used-total|which-appliance
S001,DS18B20 digital temp probe,2.5,Temperature,10,4.0,compost-active|drift-from-baseline|food-fresh|frost-tonight|machine-running|object-temperature|overheating|soil-ready-to-plant|thermal-energy-moved|water-hot-enough
S062,RPLIDAR / LD19 scanning LiDAR,40,Distance & Ranging,10,0.25,crossed-boundary|how-many-people|intrusion|map-surroundings|object-count|obstacle-ahead|perimeter-crossed|returned-to-spot|someone-present|where-in-room
S068,LD2450 multi-target tracking radar,12,Presence & Occupancy,10,0.83,crossed-boundary|entered-or-left|how-fast-moving|how-many-people|intrusion|occupancy-duration|perimeter-crossed|queue-length|someone-present|where-in-room
S069,Seeed MR60BHA2 vital-sign radar,25,Presence & Occupancy,10,0.4,breathing-rate|breathing-stopped|heart-rate|no-movement-alarm|occupancy-duration|person-asleep|person-fell|sleep-stage-proxy|someone-present|someone-still-present
S071,Grid-EYE AMG8833 thermal array,35,Presence & Occupancy,10,0.29,entered-or-left|how-many-people|machine-running|object-temperature|overheating|person-fell|someone-present|someone-still-present|stove-left-on|where-in-room
S074,BNO055 fusion IMU,25,Motion & Vibration,10,0.4,am-i-level|gait-quality|how-fast-moving|joint-angle|object-moved|posture|returned-to-spot|structure-moved|tremor-present|which-way-facing
S077,ADXL355 low-noise accel,38,Motion & Vibration,10,0.26,am-i-level|bearing-failing|crossed-boundary|drift-from-baseline|imbalance|machine-state|object-moved|someone-present|structure-moved|vehicle-approaching
S078,LIS3DH budget accel,3,Motion & Vibration,10,3.33,am-i-level|door-state|drift-from-baseline|intrusion|machine-duty-cycle|machine-running|object-dropped|object-moved|step-count|tamper-detected
S082,MMC5603 precision magnetometer,6,Magnetic & Compass,10,1.67,door-state|hidden-wiring|magnetic-anomaly|object-present|returned-to-spot|rotation-speed|tamper-detected|vehicle-approaching|where-in-room|which-way-facing
S103,Capacitive liquid/force FDC1004,9,Force & Weight,10,1.11,consumable-remaining|container-fullness|hidden-wiring|material-type|moisture-content|object-present|pump-dry|someone-present|tank-level|water-leak
S173,SI4432/CC1101 sub-GHz sniffer,4,RF & Electromagnetic,10,2.5,door-state|drift-from-baseline|intrusion|is-raining|machine-running|rf-activity|someone-present|tamper-detected|tank-level|wind-conditions
S197,US-100 ultrasonic w/ temp comp,4,Distance & Ranging,10,2.5,consumable-remaining|container-fullness|crossed-boundary|flood-rising|object-count|object-present|obstacle-ahead|snow-depth|someone-present|tank-level
S204,LD1125H 24GHz respiration radar,9,Presence & Occupancy,10,1.11,entered-or-left|intrusion|livestock-wellbeing|no-movement-alarm|occupancy-duration|routine-broken|someone-present|someone-still-present|through-wall-motion|where-in-room
S023,BME688 gas + climate AI,15,Gas & VOC,9,0.6,air-stuffy|cooking-detected|mould-risk|smell-signature|smoke-present|storm-approaching|too-dry|ventilation-adequate|voc-event
S060,VL53L5CX 8x8 ToF array,20,Distance & Ranging,9,0.45,container-fullness|entered-or-left|how-many-people|object-count|obstacle-ahead|person-fell|posture|someone-present|where-in-room
S061,TF-Luna LiDAR,25,Distance & Ranging,9,0.36,crossed-boundary|how-fast-moving|how-high|object-count|object-present|obstacle-ahead|tank-level|vehicle-approaching|vehicle-speed
S067,LD2410 mmWave presence,5,Presence & Occupancy,9,1.8,intrusion|no-movement-alarm|occupancy-duration|person-asleep|routine-broken|someone-present|someone-still-present|through-wall-motion|where-in-room
S081,QMC5883L compass,2,Magnetic & Compass,9,4.5,door-state|hidden-wiring|magnetic-anomaly|object-moved|object-present|rotation-speed|tamper-detected|vehicle-approaching|which-way-facing
S083,TLV493D 3D magnetic,6,Magnetic & Compass,9,1.5,container-fullness|cycle-complete|door-state|machine-state|object-moved|object-present|rotation-speed|tamper-detected|tank-level
S089,MAX9814 AGC mic amp,7,Sound & Audio,9,1.29,cooking-detected|cycle-complete|device-left-on|glass-broken|intrusion|machine-running|someone-present|unusual-sound|which-appliance
S090,SPH0645 I2S mic,7,Sound & Audio,9,1.29,cooking-detected|device-left-on|glass-broken|intrusion|machine-running|someone-present|unusual-sound|where-in-room|which-appliance
S095,801S vibration sensor,3,Motion & Vibration,9,3.0,bearing-failing|cycle-complete|drift-from-baseline|imbalance|machine-duty-cycle|machine-running|machine-state|object-moved|tamper-detected
S097,Piezo shock/knock element,3,Motion & Vibration,9,3.0,cycle-complete|glass-broken|intrusion|machine-running|object-count|object-dropped|object-moved|tamper-detected|unusual-sound
S102,Nano33-style 1kg beam scale kit,8,Force & Weight,9,1.12,consumable-remaining|container-fullness|cycle-complete|drift-from-baseline|flow-rate|growth-rate|object-count|object-present|water-used-total
S175,PN532 NFC controller,6,Identity & Tags,9,1.5,asset-location|authorised-to-use|entered-or-left|object-count|object-genuine|object-identity|object-present|occupancy-duration|who-is-it
S203,Panasonic EKMC PIR (quality),12,Presence & Occupancy,9,0.75,crossed-boundary|entered-or-left|intrusion|livestock-wellbeing|no-movement-alarm|occupancy-duration|routine-broken|someone-present|vehicle-approaching
S214,AS5048A 14-bit angle,12,Position & Rotation,9,0.75,cycle-complete|door-state|how-far-travelled|joint-angle|machine-state|object-moved|returned-to-spot|rotation-speed|which-way-facing
S230,Time-of-flight spectroscopy: AS7263 trick,35,Frontier Sensing,9,0.26,colour-match|concentration-liquid|contamination|food-fresh|fruit-ripe|material-type|moisture-content|object-genuine|object-material
S232,Acoustic emission (ultrasonic contact),10,Frontier Sensing,9,0.9,air-leak|arc-or-discharge|bearing-failing|drift-from-baseline|imbalance|lubrication-failing|machine-state|ultrasonic-activity|water-leak
S235,Scent delivery + e-nose loop,60,Frontier Sensing,9,0.15,air-stuffy|contamination|cooking-detected|drift-from-baseline|food-fresh|gas-leak|mould-risk|smell-signature|voc-event
S002,TMP117 ultra-precise temp,11,Temperature,8,0.73,body-temp-trend|drift-from-baseline|food-fresh|frost-tonight|object-temperature|occupancy-duration|overheating|water-hot-enough
S004,MAX31855 thermocouple amp,15,Temperature,8,0.53,coating-cured|cycle-complete|drift-from-baseline|fire-present|machine-duty-cycle|machine-state|object-temperature|overheating
S010,Thermocouple multiplexer board,13,Temperature,8,0.62,coating-cured|cycle-complete|drift-from-baseline|food-fresh|machine-duty-cycle|machine-state|object-temperature|overheating
S011,DHT22 / AM2302,4,Humidity & Moisture,8,2.0,compost-active|cooking-detected|disease-pressure|frost-tonight|livestock-wellbeing|mould-risk|too-dry|ventilation-adequate
S012,SHT41 humidity + temp,6,Humidity & Moisture,8,1.33,coating-cured|cooking-detected|disease-pressure|drift-from-baseline|frost-tonight|mould-risk|too-dry|ventilation-adequate
S013,BME280 climate combo,6,Humidity & Moisture,8,1.33,disease-pressure|drift-from-baseline|frost-tonight|how-high|mould-risk|storm-approaching|too-dry|ventilation-adequate
S015,SHT31 weatherproof probe,12,Humidity & Moisture,8,0.67,compost-active|disease-pressure|frost-tonight|growth-rate|livestock-wellbeing|mould-risk|too-dry|ventilation-adequate
S021,MPRLS ported pressure,15,Pressure & Altitude,8,0.53,consumable-remaining|container-fullness|flood-rising|plant-thirsty|pump-dry|soil-tension|tank-level|water-leak
S036,SCD41 true CO2,25,CO2,8,0.32,air-stuffy|cycle-complete|how-many-people|mould-risk|occupancy-duration|someone-present|too-dry|ventilation-adequate
S037,SCD30 NDIR CO2,40,CO2,8,0.2,air-stuffy|compost-active|cycle-complete|how-many-people|mould-risk|occupancy-duration|someone-present|ventilation-adequate
S056,HC-SR04 ultrasonic,1.5,Distance & Ranging,8,5.33,consumable-remaining|container-fullness|crossed-boundary|object-count|object-present|obstacle-ahead|someone-present|tank-level
S058,VL53L0X ToF laser,5,Distance & Ranging,8,1.6,consumable-remaining|container-fullness|crossed-boundary|object-count|object-present|obstacle-ahead|someone-present|tank-level
S059,VL53L1X long-range ToF,12,Distance & Ranging,8,0.67,container-fullness|crossed-boundary|entered-or-left|how-many-people|object-count|obstacle-ahead|occupancy-duration|someone-present
S080,High-g accel ADXL375,18,Motion & Vibration,8,0.44,drift-from-baseline|imbalance|machine-state|object-dropped|object-moved|person-fell|tamper-detected|vehicle-speed
S092,DFRobot dB meter,37,Sound & Audio,8,0.22,bearing-failing|drift-from-baseline|machine-duty-cycle|machine-running|occupancy-duration|queue-length|someone-present|unusual-sound
S093,Ultrasonic mic experiments,6,Sound & Audio,8,1.33,air-leak|arc-or-discharge|bearing-failing|livestock-wellbeing|lubrication-failing|machine-state|ultrasonic-activity|unusual-sound
S094,SW-420 vibration switch,1,Motion & Vibration,8,8.0,cycle-complete|drift-from-baseline|intrusion|machine-duty-cycle|machine-running|object-dropped|object-moved|tamper-detected
S099,FSR402 force resistor,7,Force & Weight,8,1.14,door-state|muscle-effort|object-count|object-moved|object-present|occupancy-duration|posture|someone-present
S101,Strain gauge + amp,4,Force & Weight,8,2.0,consumable-remaining|cycle-complete|drift-from-baseline|imbalance|machine-state|object-present|structure-moved|tamper-detected
S112,MAX30102 pulse oximeter,6,Biometric & Health,8,1.33,blood-oxygen|breathing-rate|heart-rate|heart-variability|object-present|sleep-stage-proxy|someone-present|stress-arousal
S119,BioAmp EXG Pill,25,Biometric & Health,8,0.32,blink-or-eye-move|breathing-rate|heart-rate|heart-variability|muscle-effort|posture|stress-arousal|tremor-present
S126,Snow/level laser (outdoor ToF),70,Weather & Outdoor,8,0.11,consumable-remaining|container-fullness|crossed-boundary|flood-rising|obstacle-ahead|snow-depth|tank-level|vehicle-approaching
S138,YF-S201 flow sensor,5,Water & Liquid,8,1.6,cycle-complete|flow-rate|pump-dry|routine-broken|someone-present|water-leak|water-used-total|which-appliance
S145,INA226/INA228 precision power,6,Power & Electrical,8,1.33,abnormal-current|battery-charge|device-left-on|energy-budget-node|energy-cost|machine-running|power-now|solar-performance
S146,ACS712 Hall current,3,Power & Electrical,8,2.67,abnormal-current|bearing-failing|cycle-complete|device-left-on|machine-duty-cycle|machine-running|machine-state|power-now
S148,PZEM-004T AC power module,11,Power & Electrical,8,0.73,device-left-on|energy-cost|machine-duty-cycle|machine-running|phantom-load|power-now|power-quality|which-appliance
S161,MLX90640 thermal camera,45,Thermal Imaging,8,0.18,bearing-failing|how-many-people|machine-state|mould-risk|overheating|person-fell|someone-present|stove-left-on
S167,Person Sensor (Useful Sensors),10,Cameras & Vision,8,0.8,are-they-looking|authorised-to-use|entered-or-left|how-many-people|occupancy-duration|someone-present|where-in-room|who-is-it
S174,RC522 RFID reader,2,Identity & Tags,8,4.0,asset-location|authorised-to-use|entered-or-left|object-count|object-identity|object-present|occupancy-duration|who-is-it
S176,125kHz RDM6300 RFID,3,Identity & Tags,8,2.67,asset-location|authorised-to-use|entered-or-left|livestock-wellbeing|object-count|object-identity|object-present|who-is-it
S177,FS3000 air velocity,26,Weather & Outdoor,8,0.31,air-leak|air-stuffy|cycle-complete|drift-from-baseline|filter-clogged|machine-running|overheating|ventilation-adequate
S183,Thermal flow: SDP + thermistor DIY,40,Frontier Sensing,8,0.2,air-leak|breathing-rate|cycle-complete|drift-from-baseline|filter-clogged|growth-rate|machine-running|ventilation-adequate
S189,AHT20 temp/humidity,2,Humidity & Moisture,8,4.0,air-stuffy|coating-cured|disease-pressure|drift-from-baseline|frost-tonight|heat-island|mould-risk|too-dry
S191,SHTC3 tiny low-power RH/T,4,Humidity & Moisture,8,2.0,air-stuffy|drift-from-baseline|energy-budget-node|frost-tonight|livestock-wellbeing|mould-risk|someone-present|too-dry
S216,Inclinometer SCL3300,35,Position & Rotation,8,0.23,am-i-level|drift-from-baseline|machine-state|object-moved|returned-to-spot|solar-performance|structure-moved|tamper-detected
S234,Transit-time ultrasonic flow (clamp-on),85,Water & Liquid,8,0.09,drift-from-baseline|flow-rate|machine-duty-cycle|machine-running|pump-dry|thermal-energy-moved|water-leak|water-used-total
S236,Bat/dolphin: 40kHz ranging array,8,Frontier Sensing,8,1.0,crossed-boundary|map-surroundings|object-count|object-present|obstacle-ahead|someone-present|tank-level|where-in-room
S238,Ground vibration fence: fiber + photodiode,10,Frontier Sensing,8,0.8,crossed-boundary|intrusion|livestock-wellbeing|object-moved|perimeter-crossed|structure-moved|tamper-detected|wind-conditions
S003,MCP9808 precision temp,5,Temperature,7,1.4,device-left-on|drift-from-baseline|food-fresh|frost-tonight|machine-running|object-temperature|overheating
S005,MAX31865 RTD amplifier,15,Temperature,7,0.47,coating-cured|cycle-complete|drift-from-baseline|object-temperature|overheating|thermal-energy-moved|water-hot-enough
S006,NTC thermistor 10k,0.3,Temperature,7,14.0,drift-from-baseline|frost-tonight|machine-running|object-temperature|overheating|someone-present|water-hot-enough
S014,HDC3022 humidity + temp,7,Humidity & Moisture,7,1.0,disease-pressure|drift-from-baseline|mould-risk|tamper-detected|too-dry|ventilation-adequate|water-leak
S020,SDP810 differential pressure,35,Pressure & Altitude,7,0.2,air-leak|breathing-rate|cycle-complete|filter-clogged|machine-duty-cycle|machine-state|ventilation-adequate
S025,ENS160 air quality,9,Gas & VOC,7,0.78,air-stuffy|coating-cured|cooking-detected|smell-signature|someone-present|ventilation-adequate|voc-event
S031,MiCS-6814 tri-gas,20,Gas & VOC,7,0.35,co-present|cooking-detected|gas-leak|livestock-wellbeing|smell-signature|ventilation-adequate|voc-event
S032,SGP30 eCO2/TVOC (legacy),10,Gas & VOC,7,0.7,air-stuffy|coating-cured|cooking-detected|smell-signature|someone-present|ventilation-adequate|voc-event
S049,Photoresistor (LDR),0.2,Light & UV,7,14.0,crossed-boundary|device-left-on|door-state|light-dose-daily|machine-running|object-count|sky-clear
S064,A02YYUW waterproof ultrasonic,9,Distance & Ranging,7,0.78,consumable-remaining|container-fullness|flood-rising|object-present|pump-dry|snow-depth|tank-level
S110,Conductive rubber stretch cord,10,Flex & Stretch,7,0.7,breathing-rate|breathing-stopped|door-state|gait-quality|joint-angle|object-moved|posture
S111,Bend Labs digital flex (1-axis),70,Flex & Stretch,7,0.1,breathing-rate|gait-quality|joint-angle|object-moved|posture|structure-moved|tremor-present
S120,Fingerprint reader R503,20,Identity & Tags,7,0.35,authorised-to-use|entered-or-left|object-identity|occupancy-duration|someone-present|tamper-detected|who-is-it
S147,SCT-013 CT clamp,10,Power & Electrical,7,0.7,abnormal-current|device-left-on|machine-running|machine-state|phantom-load|power-now|which-appliance
S163,FLIR Lepton 3.5,240,Thermal Imaging,7,0.03,bearing-failing|fire-present|how-many-people|machine-state|overheating|person-fell|someone-present
S165,OV2640 camera (ESP32-CAM),8,Cameras & Vision,7,0.88,growth-rate|intrusion|machine-state|object-count|object-identity|object-present|someone-present
S172,EMF / RF field probes,12,RF & Electromagnetic,7,0.58,arc-or-discharge|device-left-on|drift-from-baseline|hidden-wiring|machine-running|magnetic-anomaly|rf-activity
S190,Si7021 humidity/temp,4,Humidity & Moisture,7,1.75,air-stuffy|coating-cured|disease-pressure|drift-from-baseline|frost-tonight|mould-risk|too-dry
S192,BMP280 budget barometer,1.5,Pressure & Altitude,7,4.67,door-state|drift-from-baseline|how-high|machine-state|returned-to-spot|sky-clear|storm-approaching
S196,VCNL4040 proximity + lux,6,Distance & Ranging,7,1.17,container-fullness|crossed-boundary|door-state|light-dose-daily|object-count|object-present|someone-present
S198,MaxBotix MB7389 weather LV,110,Distance & Ranging,7,0.06,consumable-remaining|container-fullness|crossed-boundary|flood-rising|object-present|snow-depth|tank-level
S202,AGS02MA TVOC budget,4,Gas & VOC,7,1.75,air-stuffy|coating-cured|cooking-detected|smell-signature|someone-present|ventilation-adequate|voc-event
S208,MAX4466 adjustable mic amp,6,Sound & Audio,7,1.17,bearing-failing|cycle-complete|glass-broken|machine-running|machine-state|someone-present|unusual-sound
S211,Optical infrared water-in-fuel,18,Water & Liquid,7,0.39,consumable-remaining|container-fullness|flood-rising|object-present|pump-dry|tank-level|water-leak
S258,OBD-II port as a sensor bus,6.0,Industrial & Automotive,7,1.17,abnormal-current|drift-from-baseline|how-fast-moving|machine-duty-cycle|machine-running|overheating|rotation-speed
S333,VL53L8CX 8x8 depth zone array,25.0,Distance & Ranging,7,0.28,entered-or-left|how-many-people|object-count|obstacle-ahead|person-fell|posture|where-in-room
S337,Benewake TF03 long-range industrial LiDAR,180.0,Distance & Ranging,7,0.04,container-fullness|flood-rising|how-high|obstacle-ahead|snow-depth|tank-level|vehicle-approaching
S379,ATM90E32AS polyphase energy metering AFE,4.0,Power & Electrical,7,1.75,abnormal-current|energy-cost|phantom-load|power-now|power-quality|solar-performance|which-appliance
S381,BL0940 calibration-free mains metering IC,1.5,Power & Electrical,7,4.67,device-left-on|energy-cost|machine-duty-cycle|overheating|phantom-load|power-now|which-appliance
S019,LPS22HB pressure sensor,6,Pressure & Altitude,6,1.0,door-state|flood-rising|how-fast-moving|how-high|storm-approaching|tank-level
S024,SGP40 VOC index,12,Gas & VOC,6,0.5,air-stuffy|cooking-detected|smell-signature|smoke-present|ventilation-adequate|voc-event
S029,MQ-135 air quality,2.5,Gas & VOC,6,2.4,air-stuffy|cooking-detected|livestock-wellbeing|smell-signature|ventilation-adequate|voc-event
S030,MiCS-5524 CO/VOC,14,Gas & VOC,6,0.43,air-stuffy|co-present|cooking-detected|gas-leak|smell-signature|voc-event
S033,Electrochemical gas cells,80,Gas & VOC,6,0.07,co-present|contamination|gas-leak|ozone-present|smell-signature|ventilation-adequate
S034,ZE08-CH2O formaldehyde,22,Gas & VOC,6,0.27,air-stuffy|coating-cured|contamination|formaldehyde-level|ventilation-adequate|voc-event
S045,VEML7700 high-accuracy lux,5,Light & UV,6,1.2,device-left-on|door-state|light-dose-daily|machine-running|person-asleep|sky-clear
S048,TSL2591 high dynamic lux,7,Light & UV,6,0.86,device-left-on|door-state|light-dose-daily|machine-running|sky-clear|water-clarity
S051,TCS34725 RGB color,7,Colour & Spectral,6,0.86,colour-match|concentration-liquid|fruit-ripe|object-material|water-nutrients|water-ph
S052,AS7341 11-channel spectral,14,Colour & Spectral,6,0.43,colour-match|concentration-liquid|drift-from-baseline|fruit-ripe|light-dose-daily|material-type
S053,AS7263 NIR spectral,27,Colour & Spectral,6,0.22,food-fresh|fruit-ripe|material-type|moisture-content|object-genuine|plant-thirsty
S057,JSN-SR04T waterproof ultrasonic,6,Distance & Ranging,6,1.0,consumable-remaining|container-fullness|flood-rising|object-present|snow-depth|tank-level
S063,Sharp GP2Y0A21 IR distance,8,Distance & Ranging,6,0.75,container-fullness|crossed-boundary|object-count|object-present|obstacle-ahead|someone-present
S065,HC-SR501 PIR motion,1.5,Presence & Occupancy,6,4.0,crossed-boundary|intrusion|no-movement-alarm|occupancy-duration|routine-broken|someone-present
S070,RCWL-0516 doppler radar,1.2,Presence & Occupancy,6,5.0,crossed-boundary|intrusion|machine-running|object-moved|someone-present|through-wall-motion
S104,MPR121 12-pad cap touch,6,Touch & Capacitive,6,1.0,door-state|object-moved|object-present|someone-present|tamper-detected|tank-level
S106,ESP32 native touch pins,0,Touch & Capacitive,6,12.0,door-state|object-moved|object-present|someone-present|tamper-detected|tank-level
S108,Water level capacitive strip,7,Touch & Capacitive,6,0.86,consumable-remaining|container-fullness|flood-rising|pump-dry|tank-level|water-leak
S109,"Flex sensor 2.2""",8,Flex & Stretch,6,0.75,breathing-rate|door-state|gait-quality|joint-angle|object-moved|posture
S113,AD8232 ECG front-end,10,Biometric & Health,6,0.6,breathing-rate|heart-rate|heart-variability|person-asleep|someone-present|stress-arousal
S115,MyoWare 2.0 EMG,40,Biometric & Health,6,0.15,gait-quality|joint-angle|muscle-effort|posture|stress-arousal|tremor-present
S130,RS-485 soil NPK/EC probe,40,Soil & Agriculture,6,0.15,contamination|moisture-content|plant-thirsty|soil-fertility|soil-ready-to-plant|water-nutrients
S131,Chirp! plant sensor,10,Soil & Agriculture,6,0.6,drift-from-baseline|growth-rate|light-dose-daily|moisture-content|plant-thirsty|soil-ready-to-plant
S134,Analog pH kit,30,Water & Liquid,6,0.2,concentration-liquid|contamination|food-fresh|soil-fertility|water-ph|water-sanitised
S135,EC / TDS sensor,12,Water & Liquid,6,0.5,concentration-liquid|contamination|drift-from-baseline|filter-clogged|soil-fertility|water-nutrients
S139,Non-contact liquid level XKC-Y26,8,Water & Liquid,6,0.75,consumable-remaining|container-fullness|flood-rising|pump-dry|tank-level|water-leak
S140,eTape liquid level,40,Water & Liquid,6,0.15,consumable-remaining|container-fullness|flood-rising|pump-dry|tank-level|water-leak
S143,ORP (redox) probe,110,Water & Liquid,6,0.05,concentration-liquid|contamination|cycle-complete|drift-from-baseline|water-oxygen|water-sanitised
S157,NEO-6M GPS,8,GNSS & Positioning,6,0.75,asset-location|crossed-boundary|how-far-travelled|how-fast-moving|vehicle-speed|where-am-i
S158,u-blox M10 GNSS,20,GNSS & Positioning,6,0.3,asset-location|crossed-boundary|heat-island|how-far-travelled|how-fast-moving|where-am-i
S159,ZED-F9P RTK centimetre GNSS,260,GNSS & Positioning,6,0.02,asset-location|how-far-travelled|returned-to-spot|structure-moved|where-am-i|which-way-facing
S180,IR flame detector (flicker),2,Light & UV,6,3.0,cooking-detected|device-left-on|fire-present|machine-running|overheating|stove-left-on
S186,Watermark granular-matrix soil water sensor,45,Soil & Agriculture,6,0.13,disease-pressure|drift-from-baseline|growth-rate|moisture-content|plant-thirsty|soil-tension
S188,Scintillating gamma spectrometer,150,Radiation & Nuclear,6,0.04,contamination|material-type|object-genuine|object-material|radiation-dose|which-isotope
