outcome_key,domain,question,n_routes,rarity,first_tier,cheapest,most_capable,no_contact,privacy_safe,all_routes
co-present,Air & environment,Is there carbon monoxide?,4,,BROAD,MQ-7 carbon monoxide ($2.5),Electrochemical gas cells,MQ-7 carbon monoxide ($2.5),MQ-7 carbon monoxide ($2.5),MQ-7 carbon monoxide ($2.5) | MiCS-5524 CO/VOC ($14) | MiCS-6814 tri-gas ($20) | Electrochemical gas cells ($80)
ozone-present,Air & environment,Is something emitting ozone?,3,rare,COMPLETE,MQ-131 ozone ($30),Electrochemical gas cells,MQ-131 ozone ($30),MQ-131 ozone ($30),MQ-131 ozone ($30) | Winsen ZE25-O3 ozone module ($30.0) | Electrochemical gas cells ($80)
formaldehyde-level,Air & environment,Is new furniture or flooring off-gassing?,2,rare,COMPLETE,ZE08-CH2O formaldehyde ($22),Alphasense PID-AH2 photoionisation VOC,ZE08-CH2O formaldehyde ($22),ZE08-CH2O formaldehyde ($22),ZE08-CH2O formaldehyde ($22) | Alphasense PID-AH2 photoionisation VOC ($320.0)
radon-level,Air & environment,Is radon accumulating?,1,SOLE ROUTE,COMPLETE,RD200 radon sensor ($180),RD200 radon sensor,RD200 radon sensor ($180),RD200 radon sensor ($180),RD200 radon sensor ($180)
posture,Body & health,What posture is this body in?,26,,FOUNDATION,MPU-6050 6-axis IMU ($2),Capacitive stretch sensor,VL53L5CX 8x8 ToF array ($20),MPU-6050 6-axis IMU ($2),"MPU-6050 6-axis IMU ($2) | Velostat pressure sheets ($5) | FSR402 force resistor ($7) | Flex sensor 2.2"" ($8) | BMI270 wearable IMU ($8) | MPU-9250 9-axis (legacy) ($8) | Conductive thread + fabric pads ($8) | BMI323 6-axis IMU ($8.0) | LSM6DSOX ML-core IMU ($10) | Conductive rubber stretch cord ($10) | Scale-hacking: NAU7802 ($12) | ICM-20948 9-axis IMU ($15) | EeonTex piezoresistive fabric ($15.0) | VL53L5CX 8x8 ToF array ($20) | LSM6DSV16X IMU with on-chip fusion ($20.0) | BNO086 high-perf fusion IMU ($22) | BNO055 fusion IMU ($25) | BioAmp EXG Pill ($25) | VL53L8CX 8x8 depth zone array ($25.0) | Button / pancake load cell ($25.0) | Tactile pressure array ($25.0) | HLK-LD6001A 60GHz fall-detection radar ($35.0) | MyoWare 2.0 EMG ($40) | SCA3300 industrial inclinometer/accelerometer ($50.0) | Bend Labs digital flex (1-axis) ($70) | Capacitive stretch sensor ($90.0)"
breathing-rate,Body & health,How fast are they breathing?,23,,FOUNDATION,Wi-Fi CSI sensing (the router IS the sensor) ($0),SprintIR-W fast wide-range NDIR CO2,DFRobot Gravity mmWave presence radar ($22),"Flex sensor 2.2"" ($8)","Wi-Fi CSI sensing (the router IS the sensor) ($0) | Thermistor airflow (nasal) kit ($3) | MAX30102 pulse oximeter ($6) | Flex sensor 2.2"" ($8) | Conductive rubber stretch cord ($10) | AD8232 ECG front-end ($10) | EeonTex piezoresistive fabric ($15.0) | DFRobot Gravity mmWave presence radar ($22) | MAX86150 ECG+PPG combo ($23) | Seeed MR60BHA2 vital-sign radar ($25) | BioAmp EXG Pill ($25) | SDP810 differential pressure ($35) | Thermal flow: SDP + thermistor DIY ($40) | MAX30001 ECG + bioimpedance AFE ($45.0) | AFE4490 transmissive pulse-oximetry front end ($55.0) | Bend Labs digital flex (1-axis) ($70) | Acconeer XM125 pulsed coherent radar ($70.0) | ADS1292R 2-channel ECG + respiration front end ($70.0) | Capacitive stretch sensor ($90.0) | AD5941 bioimpedance / EIS analyser ($95.0) | Time-of-flight gesture radar 60GHz ($110) | Ferroelectret bed sensor (ballistocardiography) ($130.0) | SprintIR-W fast wide-range NDIR CO2 ($190.0)"
heart-rate,Body & health,What is the heart rate?,16,,CORE,Pulse sensor (PPG classic) ($5),OpenBCI Cyton 8-channel biosensing board,Seeed MR60BHA2 vital-sign radar ($25),Conductive fabric and tape electrodes ($12),"Pulse sensor (PPG classic) ($5) | MAX30102 pulse oximeter ($6) | AD8232 ECG front-end ($10) | Conductive fabric and tape electrodes ($12.0) | MAX86150 ECG+PPG combo ($23) | Seeed MR60BHA2 vital-sign radar ($25) | BioAmp EXG Pill ($25) | MAX30001 ECG + bioimpedance AFE ($45.0) | AFE4490 transmissive pulse-oximetry front end ($55.0) | Oscillometric blood-pressure module (cuff, pump, valve) ($60.0) | ADS1292R 2-channel ECG + respiration front end ($70.0) | Time-of-flight gesture radar 60GHz ($110) | MAXM86161 reflective PPG module ($120.0) | Ferroelectret bed sensor (ballistocardiography) ($130.0) | ADS1298 8-channel clinical ECG front end ($160.0) | OpenBCI Cyton 8-channel biosensing board ($499.0)"
gait-quality,Body & health,How is this person walking?,16,,FOUNDATION,MPU-6050 6-axis IMU ($2),Capacitive stretch sensor,— none,MPU-6050 6-axis IMU ($2),"MPU-6050 6-axis IMU ($2) | Velostat pressure sheets ($5) | Flex sensor 2.2"" ($8) | BMI270 wearable IMU ($8) | LSM6DSOX ML-core IMU ($10) | Conductive rubber stretch cord ($10) | Scale-hacking: NAU7802 ($12) | ICM-20948 9-axis IMU ($15) | Weight-in-motion: piezo cable ($15) | LSM6DSV16X IMU with on-chip fusion ($20.0) | BNO086 high-perf fusion IMU ($22) | BNO055 fusion IMU ($25) | Tactile pressure array ($25.0) | MyoWare 2.0 EMG ($40) | Bend Labs digital flex (1-axis) ($70) | Capacitive stretch sensor ($90.0)"
step-count,Body & health,How much have they moved today?,14,,FOUNDATION,MPU-6050 6-axis IMU ($2),Weight-in-motion: piezo cable,— none,MPU-6050 6-axis IMU ($2),MPU-6050 6-axis IMU ($2) | ADXL345 accelerometer ($3) | LIS3DH budget accel ($3) | Velostat pressure sheets ($5) | LIS2DW12 nanoamp accelerometer ($6.0) | BMI270 wearable IMU ($8) | MPU-9250 9-axis (legacy) ($8) | BMI323 6-axis IMU ($8.0) | LSM6DSOX ML-core IMU ($10) | BMA400 ultra-low-power accelerometer ($13.0) | ICM-20948 9-axis IMU ($15) | Weight-in-motion: piezo cable ($15) | LSM6DSV16X IMU with on-chip fusion ($20.0) | BNO086 high-perf fusion IMU ($22)
stress-arousal,Body & health,Is this person's arousal or stress rising?,12,,CORE,Pulse sensor (PPG classic) ($5),OpenBCI Cyton 8-channel biosensing board,— none,EDA done properly - constant-voltage skin conductance ($8),Pulse sensor (PPG classic) ($5) | MAX30102 pulse oximeter ($6) | EDA done properly - constant-voltage skin conductance ($8.0) | AD8232 ECG front-end ($10) | GSR / EDA sensor ($10) | MAX86150 ECG+PPG combo ($23) | BioAmp EXG Pill ($25) | MyoWare 2.0 EMG ($40) | ADS1299 8-channel EEG front end ($45.0) | AD5941 bioimpedance / EIS analyser ($95.0) | MAXM86161 reflective PPG module ($120.0) | OpenBCI Cyton 8-channel biosensing board ($499.0)
tremor-present,Body & health,"Is there a tremor, and at what frequency?",11,,FOUNDATION,MPU-6050 6-axis IMU ($2),Time-of-flight gesture radar 60GHz,Time-of-flight gesture radar 60GHz ($110),MPU-6050 6-axis IMU ($2),MPU-6050 6-axis IMU ($2) | BMI270 wearable IMU ($8) | MPU-9250 9-axis (legacy) ($8) | LSM6DSOX ML-core IMU ($10) | L3GD20H gyro-only 3-axis ($20.0) | BNO086 high-perf fusion IMU ($22) | BNO055 fusion IMU ($25) | BioAmp EXG Pill ($25) | MyoWare 2.0 EMG ($40) | Bend Labs digital flex (1-axis) ($70) | Time-of-flight gesture radar 60GHz ($110)
sleep-stage-proxy,Body & health,"What sleep stage is this, roughly?",11,,CORE,Thermistor airflow (nasal) kit ($3),OpenBCI Cyton 8-channel biosensing board,DFRobot Gravity mmWave presence radar ($22),Velostat pressure sheets ($5),Thermistor airflow (nasal) kit ($3) | Velostat pressure sheets ($5) | MAX30102 pulse oximeter ($6) | BMI270 wearable IMU ($8) | EDA done properly - constant-voltage skin conductance ($8.0) | GSR / EDA sensor ($10) | DFRobot Gravity mmWave presence radar ($22) | Seeed MR60BHA2 vital-sign radar ($25) | MAX30001 ECG + bioimpedance AFE ($45.0) | ADS1299 8-channel EEG front end ($45.0) | OpenBCI Cyton 8-channel biosensing board ($499.0)
heart-variability,Body & health,How stressed or recovered is this body?,10,,CORE,Pulse sensor (PPG classic) ($5),ADS1298 8-channel clinical ECG front end,— none,AFE4490 transmissive pulse-oximetry front end ($55),Pulse sensor (PPG classic) ($5) | MAX30102 pulse oximeter ($6) | AD8232 ECG front-end ($10) | MAX86150 ECG+PPG combo ($23) | BioAmp EXG Pill ($25) | MAX30001 ECG + bioimpedance AFE ($45.0) | AFE4490 transmissive pulse-oximetry front end ($55.0) | ADS1292R 2-channel ECG + respiration front end ($70.0) | MAXM86161 reflective PPG module ($120.0) | ADS1298 8-channel clinical ECG front end ($160.0)
joint-angle,Body & health,"What angle is this joint at, through its range?",10,,BROAD,"Flex sensor 2.2"" ($8)",Capacitive stretch sensor,AS5048A 14-bit angle ($12),"Flex sensor 2.2"" ($8)","Flex sensor 2.2"" ($8) | Conductive rubber stretch cord ($10) | AS5048A 14-bit angle ($12) | ICM-20948 9-axis IMU ($15) | Draw-wire (string pot) sensor ($15) | BNO086 high-perf fusion IMU ($22) | BNO055 fusion IMU ($25) | MyoWare 2.0 EMG ($40) | Bend Labs digital flex (1-axis) ($70) | Capacitive stretch sensor ($90.0)"
muscle-effort,Body & health,"Which muscle is working, and how hard?",7,,BROAD,FSR402 force resistor ($7),OpenBCI Cyton 8-channel biosensing board,— none,FSR402 force resistor ($7),FSR402 force resistor ($7) | Conductive fabric and tape electrodes ($12.0) | BioAmp EXG Pill ($25) | MyoWare 2.0 EMG ($40) | ADS1299 8-channel EEG front end ($45.0) | ADS1298 8-channel clinical ECG front end ($160.0) | OpenBCI Cyton 8-channel biosensing board ($499.0)
breathing-stopped,Body & health,Has breathing become irregular or stopped?,6,,BROAD,Thermistor airflow (nasal) kit ($3),Ferroelectret bed sensor (ballistocardiography),Seeed MR60BHA2 vital-sign radar ($25),Conductive rubber stretch cord ($10),Thermistor airflow (nasal) kit ($3) | Conductive rubber stretch cord ($10) | Seeed MR60BHA2 vital-sign radar ($25) | MAX30001 ECG + bioimpedance AFE ($45.0) | ADS1292R 2-channel ECG + respiration front end ($70.0) | Ferroelectret bed sensor (ballistocardiography) ($130.0)
body-temp-trend,Body & health,"Is body temperature drifting — fever, ovulation, heat stress?",6,,BROAD,MLX90614 IR thermometer ($8),MLX90614 forehead mode,MLX90614 IR thermometer ($8),MLX90614 IR thermometer ($8),MLX90614 IR thermometer ($8) | MAX30205 clinical body temp ($9) | MAX30208 clinical-accuracy skin temperature ($10.0) | TMP117 ultra-precise temp ($11) | MLX90632 miniature IR temp ($14) | MLX90614 forehead mode ($25)
blood-oxygen,Body & health,What is the blood oxygen saturation?,4,,CORE,MAX30102 pulse oximeter ($6),MAXM86161 reflective PPG module,— none,AFE4490 transmissive pulse-oximetry front end ($55),MAX30102 pulse oximeter ($6) | MAX86150 ECG+PPG combo ($23) | AFE4490 transmissive pulse-oximetry front end ($55.0) | MAXM86161 reflective PPG module ($120.0)
blink-or-eye-move,Body & health,Did they blink or move their eyes?,3,rare,COMPLETE,BioAmp EXG Pill ($25),OpenBCI Cyton 8-channel biosensing board,— none,— none,BioAmp EXG Pill ($25) | ADS1299 8-channel EEG front end ($45.0) | OpenBCI Cyton 8-channel biosensing board ($499.0)
hydration-proxy,Body & health,Are they likely dehydrated?,2,rare,COMPLETE,GSR / EDA sensor ($10),AD5941 bioimpedance / EIS analyser,— none,AD5941 bioimpedance / EIS analyser ($95),GSR / EDA sensor ($10) | AD5941 bioimpedance / EIS analyser ($95.0)
device-left-on,Energy,Did someone leave it switched on?,30,,FOUNDATION,Photoresistor (LDR) ($0.2),Eastron SDM120-Modbus DIN energy meter,Photoresistor (LDR) ($0.2),Photoresistor (LDR) ($0.2),Photoresistor (LDR) ($0.2) | BL0940 calibration-free mains metering IC ($1.5) | IR flame detector (flicker) ($2) | BH1750 lux sensor ($2.5) | INA219 current/power monitor ($2.5) | INMP441 I2S MEMS mic ($3) | ACS712 Hall current ($3) | ZMPT101B voltage sensor ($3) | MAX44009 ultra-low-power lux ($3) | ALS-PT19 ambient light phototransistor ($3.0) | ADE7953 dual-channel single-phase energy meter ($3.5) | GUVA-S12SD UV analog ($4) | TSL2561 lux sensor ($4) | INA3221 triple-channel power ($4) | MCP9808 precision temp ($5) | VEML7700 high-accuracy lux ($5) | LTR-390 UV + ambient ($5) | INA226/INA228 precision power ($6) | VEML6030 ambient light sensor ($6.0) | TSL2591 high dynamic lux ($7) | MAX9814 AGC mic amp ($7) | SPH0645 I2S mic ($7) | HLK-LD2412 24GHz presence radar ($7.0) | SI1145 UV/IR/visible ($8) | OPT3001 photometric lux sensor ($8.0) | SCT-013 CT clamp ($10) | PZEM-004T AC power module ($11) | EMF / RF field probes ($12) | AS7331 spectral UV ($27.5) | Eastron SDM120-Modbus DIN energy meter ($38.0)
power-now,Energy,How much power is being used right now?,18,,FOUNDATION,BL0940 calibration-free mains metering IC ($1.5),LEM IT 60-S ULTRASTAB fluxgate current transducer,ACS712 Hall current ($3),BL0940 calibration-free mains metering IC ($1.5),BL0940 calibration-free mains metering IC ($1.5) | INA219 current/power monitor ($2.5) | ACS712 Hall current ($3) | ZMPT101B voltage sensor ($3) | MAX471 / shunt + ADS1115 ($3) | ADS1115 16-bit ADC (the analog fixer) ($3) | ADE7953 dual-channel single-phase energy meter ($3.5) | INA3221 triple-channel power ($4) | INA700 power monitor with on-die shunt ($4.0) | ATM90E32AS polyphase energy metering AFE ($4.0) | AMC1311 reinforced isolated voltage-sense amplifier ($5.0) | INA226/INA228 precision power ($6) | SCT-013 CT clamp ($10) | PZEM-004T AC power module ($11) | LEM LA 55-P closed-loop Hall current transducer ($35.0) | Eastron SDM120-Modbus DIN energy meter ($38.0) | Flexible Rogowski coil with integrator ($150.0) | LEM IT 60-S ULTRASTAB fluxgate current transducer ($900.0)
which-appliance,Energy,Which appliance just turned on?,16,,FOUNDATION,BL0940 calibration-free mains metering IC ($1.5),Eastron SDM120-Modbus DIN energy meter,INMP441 I2S MEMS mic ($3),BL0940 calibration-free mains metering IC ($1.5),BL0940 calibration-free mains metering IC ($1.5) | INA219 current/power monitor ($2.5) | INMP441 I2S MEMS mic ($3) | ADE7953 dual-channel single-phase energy meter ($3.5) | INA3221 triple-channel power ($4) | ATM90E32AS polyphase energy metering AFE ($4.0) | ICS-43434 I2S mic ($5) | YF-S201 flow sensor ($5) | MAX9814 AGC mic amp ($7) | SPH0645 I2S mic ($7) | SCT-013 CT clamp ($10) | DS18B20 water temp + flow combo ($10) | PZEM-004T AC power module ($11) | AS7343 14-channel spectral sensor ($19.95) | RTL-SDR receiver ($30.0) | Eastron SDM120-Modbus DIN energy meter ($38.0)
energy-budget-node,Energy,Will this node survive on its battery until spring?,11,,FOUNDATION,INA219 current/power monitor ($2.5),Pyranometer (solar irradiance),MAX44009 ultra-low-power lux ($3),INA219 current/power monitor ($2.5),INA219 current/power monitor ($2.5) | MAX44009 ultra-low-power lux ($3) | SHTC3 tiny low-power RH/T ($4) | INA3221 triple-channel power ($4) | MAX17260 ModelGauge m5 fuel gauge ($4.0) | INA700 power monitor with on-die shunt ($4.0) | INA226/INA228 precision power ($6) | MAX17048 ModelGauge fuel gauge ($6.0) | LC709203F fuel gauge (end of life) ($8.0) | BQ27441-G1 Impedance Track fuel gauge ($18.0) | Pyranometer (solar irradiance) ($60)
battery-charge,Energy,How much charge is left?,10,,FOUNDATION,INA219 current/power monitor ($2.5),BQ27441-G1 Impedance Track fuel gauge,— none,INA219 current/power monitor ($2.5),INA219 current/power monitor ($2.5) | MAX471 / shunt + ADS1115 ($3) | ADS1115 16-bit ADC (the analog fixer) ($3) | INA3221 triple-channel power ($4) | MAX17260 ModelGauge m5 fuel gauge ($4.0) | INA700 power monitor with on-die shunt ($4.0) | INA226/INA228 precision power ($6) | MAX17048 ModelGauge fuel gauge ($6.0) | LC709203F fuel gauge (end of life) ($8.0) | BQ27441-G1 Impedance Track fuel gauge ($18.0)
solar-performance,Energy,Is the solar array performing as it should?,9,,FOUNDATION,INA219 current/power monitor ($2.5),Apogee SQ-500 full-spectrum quantum (PAR) sensor,Pyranometer (solar irradiance) ($60),INA219 current/power monitor ($2.5),INA219 current/power monitor ($2.5) | ADE7953 dual-channel single-phase energy meter ($3.5) | INA3221 triple-channel power ($4) | ATM90E32AS polyphase energy metering AFE ($4.0) | INA226/INA228 precision power ($6) | DS18B20 water temp + flow combo ($10) | Inclinometer SCL3300 ($35) | Pyranometer (solar irradiance) ($60) | Apogee SQ-500 full-spectrum quantum (PAR) sensor ($400.0)
phantom-load,Energy,What is draining power while doing nothing?,8,,FOUNDATION,BL0940 calibration-free mains metering IC ($1.5),ATM90E32AS polyphase energy metering AFE,SCT-013 CT clamp ($10),BL0940 calibration-free mains metering IC ($1.5),BL0940 calibration-free mains metering IC ($1.5) | INA219 current/power monitor ($2.5) | ADE7953 dual-channel single-phase energy meter ($3.5) | INA3221 triple-channel power ($4) | INA700 power monitor with on-die shunt ($4.0) | ATM90E32AS polyphase energy metering AFE ($4.0) | SCT-013 CT clamp ($10) | PZEM-004T AC power module ($11)
energy-cost,Energy,What did that actually cost to run?,7,,CORE,BL0940 calibration-free mains metering IC ($1.5),Eastron SDM120-Modbus DIN energy meter,— none,BL0940 calibration-free mains metering IC ($1.5),BL0940 calibration-free mains metering IC ($1.5) | ADE7953 dual-channel single-phase energy meter ($3.5) | ATM90E32AS polyphase energy metering AFE ($4.0) | INA226/INA228 precision power ($6) | DS18B20 water temp + flow combo ($10) | PZEM-004T AC power module ($11) | Eastron SDM120-Modbus DIN energy meter ($38.0)
battery-health,Energy,Is this battery degrading?,5,,FOUNDATION,INA219 current/power monitor ($2.5),BQ27441-G1 Impedance Track fuel gauge,MQ-8 hydrogen sensor ($4),INA219 current/power monitor ($2.5),INA219 current/power monitor ($2.5) | MQ-8 hydrogen sensor ($4) | INA3221 triple-channel power ($4) | MAX17260 ModelGauge m5 fuel gauge ($4.0) | BQ27441-G1 Impedance Track fuel gauge ($18.0)
