sensor_id,sensor,usd,category,contact,privacy,outcome_key,outcome_question,domain
S073,LSM6DSOX ML-core IMU,10,Motion & Vibration,Contact,None,machine-state,"Is it idle, loaded, or jammed?",Machine health
S073,LSM6DSOX ML-core IMU,10,Motion & Vibration,Contact,None,object-dropped,"Was it dropped, and how hard?",Objects & assets
S073,LSM6DSOX ML-core IMU,10,Motion & Vibration,Contact,None,object-moved,Has it been moved or disturbed?,Objects & assets
S073,LSM6DSOX ML-core IMU,10,Motion & Vibration,Contact,None,posture,What posture is this body in?,Body & health
S073,LSM6DSOX ML-core IMU,10,Motion & Vibration,Contact,None,step-count,How much have they moved today?,Body & health
S073,LSM6DSOX ML-core IMU,10,Motion & Vibration,Contact,None,tamper-detected,Has someone interfered with it?,Objects & assets
S073,LSM6DSOX ML-core IMU,10,Motion & Vibration,Contact,None,tremor-present,"Is there a tremor, and at what frequency?",Body & health
S087,INMP441 I2S MEMS mic,3,Sound & Audio,Standoff,Raw-imagery,air-leak,"Is compressed air leaking, and where?",Machine health
S087,INMP441 I2S MEMS mic,3,Sound & Audio,Standoff,Raw-imagery,bearing-failing,Is a bearing starting to fail?,Machine health
S087,INMP441 I2S MEMS mic,3,Sound & Audio,Standoff,Raw-imagery,cooking-detected,Is someone cooking?,Air & environment
S087,INMP441 I2S MEMS mic,3,Sound & Audio,Standoff,Raw-imagery,cycle-complete,Has the cycle finished?,Machine health
S087,INMP441 I2S MEMS mic,3,Sound & Audio,Standoff,Raw-imagery,device-left-on,Did someone leave it switched on?,Energy
S087,INMP441 I2S MEMS mic,3,Sound & Audio,Standoff,Raw-imagery,glass-broken,Did glass break?,Security & safety
S087,INMP441 I2S MEMS mic,3,Sound & Audio,Standoff,Raw-imagery,intrusion,Has someone entered who shouldn't have?,Security & safety
S087,INMP441 I2S MEMS mic,3,Sound & Audio,Standoff,Raw-imagery,machine-running,Is it on?,Machine health
S087,INMP441 I2S MEMS mic,3,Sound & Audio,Standoff,Raw-imagery,machine-state,"Is it idle, loaded, or jammed?",Machine health
S087,INMP441 I2S MEMS mic,3,Sound & Audio,Standoff,Raw-imagery,person-asleep,"Are they asleep, and how well?",Human presence
S087,INMP441 I2S MEMS mic,3,Sound & Audio,Standoff,Raw-imagery,someone-present,Is anyone here?,Human presence
S087,INMP441 I2S MEMS mic,3,Sound & Audio,Standoff,Raw-imagery,stove-left-on,Was the hob left on with nobody there?,Security & safety
S087,INMP441 I2S MEMS mic,3,Sound & Audio,Standoff,Raw-imagery,unusual-sound,Did something sound wrong?,Security & safety
S087,INMP441 I2S MEMS mic,3,Sound & Audio,Standoff,Raw-imagery,which-appliance,Which appliance just turned on?,Energy
S091,Piezo contact mic / disc,0.5,Sound & Audio,Contact,Raw-imagery,air-leak,"Is compressed air leaking, and where?",Machine health
S091,Piezo contact mic / disc,0.5,Sound & Audio,Contact,Raw-imagery,bearing-failing,Is a bearing starting to fail?,Machine health
S091,Piezo contact mic / disc,0.5,Sound & Audio,Contact,Raw-imagery,cycle-complete,Has the cycle finished?,Machine health
S091,Piezo contact mic / disc,0.5,Sound & Audio,Contact,Raw-imagery,drift-from-baseline,Has this drifted from how it behaved when new?,Machine health
S091,Piezo contact mic / disc,0.5,Sound & Audio,Contact,Raw-imagery,glass-broken,Did glass break?,Security & safety
S091,Piezo contact mic / disc,0.5,Sound & Audio,Contact,Raw-imagery,intrusion,Has someone entered who shouldn't have?,Security & safety
S091,Piezo contact mic / disc,0.5,Sound & Audio,Contact,Raw-imagery,machine-duty-cycle,How much is this machine actually used?,Machine health
S091,Piezo contact mic / disc,0.5,Sound & Audio,Contact,Raw-imagery,machine-running,Is it on?,Machine health
S091,Piezo contact mic / disc,0.5,Sound & Audio,Contact,Raw-imagery,machine-state,"Is it idle, loaded, or jammed?",Machine health
S091,Piezo contact mic / disc,0.5,Sound & Audio,Contact,Raw-imagery,object-dropped,"Was it dropped, and how hard?",Objects & assets
S091,Piezo contact mic / disc,0.5,Sound & Audio,Contact,Raw-imagery,someone-present,Is anyone here?,Human presence
S091,Piezo contact mic / disc,0.5,Sound & Audio,Contact,Raw-imagery,tamper-detected,Has someone interfered with it?,Objects & assets
S091,Piezo contact mic / disc,0.5,Sound & Audio,Contact,Raw-imagery,unusual-sound,Did something sound wrong?,Security & safety
S091,Piezo contact mic / disc,0.5,Sound & Audio,Contact,Raw-imagery,water-leak,Is water escaping where it shouldn't?,Water
S098,HX711 + load cell,5,Force & Weight,Contact,Aggregate,consumable-remaining,"How much is left, and how long until it runs out?",Objects & assets
S098,HX711 + load cell,5,Force & Weight,Contact,Aggregate,container-fullness,How full is it?,Objects & assets
S098,HX711 + load cell,5,Force & Weight,Contact,Aggregate,drift-from-baseline,Has this drifted from how it behaved when new?,Machine health
S098,HX711 + load cell,5,Force & Weight,Contact,Aggregate,growth-rate,How fast is it growing?,Plants & soil
S098,HX711 + load cell,5,Force & Weight,Contact,Aggregate,hive-state,What is the beehive doing?,Plants & soil
S098,HX711 + load cell,5,Force & Weight,Contact,Aggregate,livestock-wellbeing,Are the animals comfortable and behaving normally?,Plants & soil
S098,HX711 + load cell,5,Force & Weight,Contact,Aggregate,machine-state,"Is it idle, loaded, or jammed?",Machine health
S098,HX711 + load cell,5,Force & Weight,Contact,Aggregate,object-count,How many went past?,Objects & assets
S098,HX711 + load cell,5,Force & Weight,Contact,Aggregate,object-dropped,"Was it dropped, and how hard?",Objects & assets
S098,HX711 + load cell,5,Force & Weight,Contact,Aggregate,object-present,Is the thing there?,Objects & assets
S098,HX711 + load cell,5,Force & Weight,Contact,Aggregate,occupancy-duration,How long has this desk/room/seat been in use?,Human presence
S098,HX711 + load cell,5,Force & Weight,Contact,Aggregate,plant-thirsty,Does this plant need water?,Plants & soil
S098,HX711 + load cell,5,Force & Weight,Contact,Aggregate,someone-present,Is anyone here?,Human presence
S098,HX711 + load cell,5,Force & Weight,Contact,Aggregate,tank-level,How much is in the tank?,Water
S169,Grove Vision AI v2,16,Cameras & Vision,Standoff,Raw-imagery,container-fullness,How full is it?,Objects & assets
S169,Grove Vision AI v2,16,Cameras & Vision,Standoff,Raw-imagery,crossed-boundary,Did something cross this line?,Human presence
S169,Grove Vision AI v2,16,Cameras & Vision,Standoff,Raw-imagery,cycle-complete,Has the cycle finished?,Machine health
S169,Grove Vision AI v2,16,Cameras & Vision,Standoff,Raw-imagery,entered-or-left,"Did they come in, or go out?",Human presence
S169,Grove Vision AI v2,16,Cameras & Vision,Standoff,Raw-imagery,fruit-ripe,Is it ripe?,Plants & soil
S169,Grove Vision AI v2,16,Cameras & Vision,Standoff,Raw-imagery,how-many-people,How many people are in this space?,Human presence
S169,Grove Vision AI v2,16,Cameras & Vision,Standoff,Raw-imagery,machine-state,"Is it idle, loaded, or jammed?",Machine health
S169,Grove Vision AI v2,16,Cameras & Vision,Standoff,Raw-imagery,material-type,What material is this?,Materials & chemistry
S169,Grove Vision AI v2,16,Cameras & Vision,Standoff,Raw-imagery,object-count,How many went past?,Objects & assets
S169,Grove Vision AI v2,16,Cameras & Vision,Standoff,Raw-imagery,object-identity,Which specific object is this?,Objects & assets
S169,Grove Vision AI v2,16,Cameras & Vision,Standoff,Raw-imagery,object-present,Is the thing there?,Objects & assets
S169,Grove Vision AI v2,16,Cameras & Vision,Standoff,Raw-imagery,queue-length,"How many are waiting, and for how long?",Human presence
S169,Grove Vision AI v2,16,Cameras & Vision,Standoff,Raw-imagery,someone-present,Is anyone here?,Human presence
S169,Grove Vision AI v2,16,Cameras & Vision,Standoff,Raw-imagery,vehicle-approaching,Is a vehicle arriving?,Security & safety
S085,Reed switch,0.5,Magnetic & Compass,Through-barrier,Aggregate,container-fullness,How full is it?,Objects & assets
S085,Reed switch,0.5,Magnetic & Compass,Through-barrier,Aggregate,cycle-complete,Has the cycle finished?,Machine health
S085,Reed switch,0.5,Magnetic & Compass,Through-barrier,Aggregate,door-state,Is it open or closed?,Objects & assets
S085,Reed switch,0.5,Magnetic & Compass,Through-barrier,Aggregate,entered-or-left,"Did they come in, or go out?",Human presence
S085,Reed switch,0.5,Magnetic & Compass,Through-barrier,Aggregate,flow-rate,How fast is water flowing?,Water
S085,Reed switch,0.5,Magnetic & Compass,Through-barrier,Aggregate,intrusion,Has someone entered who shouldn't have?,Security & safety
S085,Reed switch,0.5,Magnetic & Compass,Through-barrier,Aggregate,is-raining,"Is it raining, and how hard?",Weather & outdoors
S085,Reed switch,0.5,Magnetic & Compass,Through-barrier,Aggregate,object-count,How many went past?,Objects & assets
S085,Reed switch,0.5,Magnetic & Compass,Through-barrier,Aggregate,object-present,Is the thing there?,Objects & assets
S085,Reed switch,0.5,Magnetic & Compass,Through-barrier,Aggregate,rotation-speed,How fast is it turning?,Machine health
S085,Reed switch,0.5,Magnetic & Compass,Through-barrier,Aggregate,tamper-detected,Has someone interfered with it?,Objects & assets
S085,Reed switch,0.5,Magnetic & Compass,Through-barrier,Aggregate,tank-level,How much is in the tank?,Water
S085,Reed switch,0.5,Magnetic & Compass,Through-barrier,Aggregate,water-used-total,"How much water was used, by whom, and when?",Water
S144,INA219 current/power monitor,2.5,Power & Electrical,Contact,None,abnormal-current,Is it drawing an abnormal amount of power?,Machine health
S144,INA219 current/power monitor,2.5,Power & Electrical,Contact,None,battery-charge,How much charge is left?,Energy
S144,INA219 current/power monitor,2.5,Power & Electrical,Contact,None,battery-health,Is this battery degrading?,Energy
S144,INA219 current/power monitor,2.5,Power & Electrical,Contact,None,cycle-complete,Has the cycle finished?,Machine health
S144,INA219 current/power monitor,2.5,Power & Electrical,Contact,None,device-left-on,Did someone leave it switched on?,Energy
S144,INA219 current/power monitor,2.5,Power & Electrical,Contact,None,energy-budget-node,Will this node survive on its battery until spring?,Energy
S144,INA219 current/power monitor,2.5,Power & Electrical,Contact,None,machine-duty-cycle,How much is this machine actually used?,Machine health
S144,INA219 current/power monitor,2.5,Power & Electrical,Contact,None,machine-running,Is it on?,Machine health
S144,INA219 current/power monitor,2.5,Power & Electrical,Contact,None,machine-state,"Is it idle, loaded, or jammed?",Machine health
S144,INA219 current/power monitor,2.5,Power & Electrical,Contact,None,phantom-load,What is draining power while doing nothing?,Energy
S144,INA219 current/power monitor,2.5,Power & Electrical,Contact,None,power-now,How much power is being used right now?,Energy
S144,INA219 current/power monitor,2.5,Power & Electrical,Contact,None,solar-performance,Is the solar array performing as it should?,Energy
S144,INA219 current/power monitor,2.5,Power & Electrical,Contact,None,which-appliance,Which appliance just turned on?,Energy
S178,LDC1612 inductive sensing,9,Industrial & Automotive,Through-barrier,None,cycle-complete,Has the cycle finished?,Machine health
S178,LDC1612 inductive sensing,9,Industrial & Automotive,Through-barrier,None,door-state,Is it open or closed?,Objects & assets
S178,LDC1612 inductive sensing,9,Industrial & Automotive,Through-barrier,None,hidden-wiring,Where is the wiring or metal inside this wall?,Invisible worlds
S178,LDC1612 inductive sensing,9,Industrial & Automotive,Through-barrier,None,machine-state,"Is it idle, loaded, or jammed?",Machine health
S178,LDC1612 inductive sensing,9,Industrial & Automotive,Through-barrier,None,magnetic-anomaly,Is there ferrous metal or a field distortion here?,Invisible worlds
S178,LDC1612 inductive sensing,9,Industrial & Automotive,Through-barrier,None,material-type,What material is this?,Materials & chemistry
S178,LDC1612 inductive sensing,9,Industrial & Automotive,Through-barrier,None,object-count,How many went past?,Objects & assets
S178,LDC1612 inductive sensing,9,Industrial & Automotive,Through-barrier,None,object-genuine,Is this authentic or counterfeit?,Objects & assets
S178,LDC1612 inductive sensing,9,Industrial & Automotive,Through-barrier,None,object-material,What is this made of?,Objects & assets
S178,LDC1612 inductive sensing,9,Industrial & Automotive,Through-barrier,None,object-present,Is the thing there?,Objects & assets
S178,LDC1612 inductive sensing,9,Industrial & Automotive,Through-barrier,None,rotation-speed,How fast is it turning?,Machine health
S178,LDC1612 inductive sensing,9,Industrial & Automotive,Through-barrier,None,structure-moved,Has this structure shifted or tilted since last time?,Navigation & space
S178,LDC1612 inductive sensing,9,Industrial & Automotive,Through-barrier,None,tamper-detected,Has someone interfered with it?,Objects & assets
S179,DFRobot Gravity mmWave presence radar,22,Presence & Occupancy,Standoff,Aggregate,breathing-rate,How fast are they breathing?,Body & health
S179,DFRobot Gravity mmWave presence radar,22,Presence & Occupancy,Standoff,Aggregate,entered-or-left,"Did they come in, or go out?",Human presence
S179,DFRobot Gravity mmWave presence radar,22,Presence & Occupancy,Standoff,Aggregate,intrusion,Has someone entered who shouldn't have?,Security & safety
S179,DFRobot Gravity mmWave presence radar,22,Presence & Occupancy,Standoff,Aggregate,no-movement-alarm,Has nobody moved for worryingly long?,Human presence
S179,DFRobot Gravity mmWave presence radar,22,Presence & Occupancy,Standoff,Aggregate,occupancy-duration,How long has this desk/room/seat been in use?,Human presence
S179,DFRobot Gravity mmWave presence radar,22,Presence & Occupancy,Standoff,Aggregate,person-asleep,"Are they asleep, and how well?",Human presence
S179,DFRobot Gravity mmWave presence radar,22,Presence & Occupancy,Standoff,Aggregate,person-fell,Did someone fall?,Human presence
S179,DFRobot Gravity mmWave presence radar,22,Presence & Occupancy,Standoff,Aggregate,routine-broken,Has this person's daily routine changed?,Human presence
S179,DFRobot Gravity mmWave presence radar,22,Presence & Occupancy,Standoff,Aggregate,sleep-stage-proxy,"What sleep stage is this, roughly?",Body & health
S179,DFRobot Gravity mmWave presence radar,22,Presence & Occupancy,Standoff,Aggregate,someone-present,Is anyone here?,Human presence
S179,DFRobot Gravity mmWave presence radar,22,Presence & Occupancy,Standoff,Aggregate,someone-still-present,"Is someone still here, sitting perfectly still?",Human presence
S179,DFRobot Gravity mmWave presence radar,22,Presence & Occupancy,Standoff,Aggregate,through-wall-motion,Is something moving on the other side of that wall?,Invisible worlds
S179,DFRobot Gravity mmWave presence radar,22,Presence & Occupancy,Standoff,Aggregate,where-in-room,Whereabouts in the room are they?,Human presence
S207,KX132 low-power accel,6,Motion & Vibration,Contact,None,am-i-level,"Is this level, and by how much is it off?",Navigation & space
S207,KX132 low-power accel,6,Motion & Vibration,Contact,None,bearing-failing,Is a bearing starting to fail?,Machine health
S207,KX132 low-power accel,6,Motion & Vibration,Contact,None,cycle-complete,Has the cycle finished?,Machine health
S207,KX132 low-power accel,6,Motion & Vibration,Contact,None,drift-from-baseline,Has this drifted from how it behaved when new?,Machine health
S207,KX132 low-power accel,6,Motion & Vibration,Contact,None,imbalance,Is it out of balance or misaligned?,Machine health
S207,KX132 low-power accel,6,Motion & Vibration,Contact,None,machine-running,Is it on?,Machine health
S207,KX132 low-power accel,6,Motion & Vibration,Contact,None,machine-state,"Is it idle, loaded, or jammed?",Machine health
S207,KX132 low-power accel,6,Motion & Vibration,Contact,None,object-dropped,"Was it dropped, and how hard?",Objects & assets
S207,KX132 low-power accel,6,Motion & Vibration,Contact,None,object-moved,Has it been moved or disturbed?,Objects & assets
S207,KX132 low-power accel,6,Motion & Vibration,Contact,None,person-fell,Did someone fall?,Human presence
S207,KX132 low-power accel,6,Motion & Vibration,Contact,None,rotation-speed,How fast is it turning?,Machine health
S207,KX132 low-power accel,6,Motion & Vibration,Contact,None,structure-moved,Has this structure shifted or tilted since last time?,Navigation & space
S207,KX132 low-power accel,6,Motion & Vibration,Contact,None,tamper-detected,Has someone interfered with it?,Objects & assets
S007,MLX90614 IR thermometer,8,Temperature,Standoff,Aggregate,bearing-failing,Is a bearing starting to fail?,Machine health
S007,MLX90614 IR thermometer,8,Temperature,Standoff,Aggregate,body-temp-trend,"Is body temperature drifting — fever, ovulation, heat stress?",Body & health
S007,MLX90614 IR thermometer,8,Temperature,Standoff,Aggregate,cooking-detected,Is someone cooking?,Air & environment
S007,MLX90614 IR thermometer,8,Temperature,Standoff,Aggregate,frost-tonight,Will there be frost tonight?,Weather & outdoors
S007,MLX90614 IR thermometer,8,Temperature,Standoff,Aggregate,livestock-wellbeing,Are the animals comfortable and behaving normally?,Plants & soil
S007,MLX90614 IR thermometer,8,Temperature,Standoff,Aggregate,machine-running,Is it on?,Machine health
S007,MLX90614 IR thermometer,8,Temperature,Standoff,Aggregate,object-temperature,How hot is that surface?,Objects & assets
S007,MLX90614 IR thermometer,8,Temperature,Standoff,Aggregate,overheating,Is something running hotter than it should?,Machine health
S007,MLX90614 IR thermometer,8,Temperature,Standoff,Aggregate,sky-clear,Is the sky clear or clouded?,Weather & outdoors
S007,MLX90614 IR thermometer,8,Temperature,Standoff,Aggregate,someone-present,Is anyone here?,Human presence
S007,MLX90614 IR thermometer,8,Temperature,Standoff,Aggregate,stove-left-on,Was the hob left on with nobody there?,Security & safety
S007,MLX90614 IR thermometer,8,Temperature,Standoff,Aggregate,water-hot-enough,Is the water at the right temperature?,Water
S075,BNO086 high-perf fusion IMU,22,Motion & Vibration,Contact,None,am-i-level,"Is this level, and by how much is it off?",Navigation & space
S075,BNO086 high-perf fusion IMU,22,Motion & Vibration,Contact,None,gait-quality,How is this person walking?,Body & health
S075,BNO086 high-perf fusion IMU,22,Motion & Vibration,Contact,None,how-far-travelled,How far have I gone?,Navigation & space
S075,BNO086 high-perf fusion IMU,22,Motion & Vibration,Contact,None,joint-angle,"What angle is this joint at, through its range?",Body & health
S075,BNO086 high-perf fusion IMU,22,Motion & Vibration,Contact,None,object-dropped,"Was it dropped, and how hard?",Objects & assets
S075,BNO086 high-perf fusion IMU,22,Motion & Vibration,Contact,None,object-moved,Has it been moved or disturbed?,Objects & assets
S075,BNO086 high-perf fusion IMU,22,Motion & Vibration,Contact,None,posture,What posture is this body in?,Body & health
S075,BNO086 high-perf fusion IMU,22,Motion & Vibration,Contact,None,returned-to-spot,Am I back at the exact same place?,Navigation & space
S075,BNO086 high-perf fusion IMU,22,Motion & Vibration,Contact,None,step-count,How much have they moved today?,Body & health
S075,BNO086 high-perf fusion IMU,22,Motion & Vibration,Contact,None,structure-moved,Has this structure shifted or tilted since last time?,Navigation & space
S075,BNO086 high-perf fusion IMU,22,Motion & Vibration,Contact,None,tremor-present,"Is there a tremor, and at what frequency?",Body & health
S075,BNO086 high-perf fusion IMU,22,Motion & Vibration,Contact,None,which-way-facing,Which way am I pointing?,Navigation & space
S076,ADXL345 accelerometer,3,Motion & Vibration,Contact,None,am-i-level,"Is this level, and by how much is it off?",Navigation & space
S076,ADXL345 accelerometer,3,Motion & Vibration,Contact,None,bearing-failing,Is a bearing starting to fail?,Machine health
S076,ADXL345 accelerometer,3,Motion & Vibration,Contact,None,door-state,Is it open or closed?,Objects & assets
S076,ADXL345 accelerometer,3,Motion & Vibration,Contact,None,drift-from-baseline,Has this drifted from how it behaved when new?,Machine health
S076,ADXL345 accelerometer,3,Motion & Vibration,Contact,None,imbalance,Is it out of balance or misaligned?,Machine health
S076,ADXL345 accelerometer,3,Motion & Vibration,Contact,None,intrusion,Has someone entered who shouldn't have?,Security & safety
S076,ADXL345 accelerometer,3,Motion & Vibration,Contact,None,machine-duty-cycle,How much is this machine actually used?,Machine health
S076,ADXL345 accelerometer,3,Motion & Vibration,Contact,None,machine-running,Is it on?,Machine health
S076,ADXL345 accelerometer,3,Motion & Vibration,Contact,None,object-dropped,"Was it dropped, and how hard?",Objects & assets
S076,ADXL345 accelerometer,3,Motion & Vibration,Contact,None,object-moved,Has it been moved or disturbed?,Objects & assets
S076,ADXL345 accelerometer,3,Motion & Vibration,Contact,None,step-count,How much have they moved today?,Body & health
S076,ADXL345 accelerometer,3,Motion & Vibration,Contact,None,tamper-detected,Has someone interfered with it?,Objects & assets
S185,Weight-in-motion: piezo cable,15,Motion & Vibration,Contact,Aggregate,crossed-boundary,Did something cross this line?,Human presence
S185,Weight-in-motion: piezo cable,15,Motion & Vibration,Contact,Aggregate,entered-or-left,"Did they come in, or go out?",Human presence
S185,Weight-in-motion: piezo cable,15,Motion & Vibration,Contact,Aggregate,gait-quality,How is this person walking?,Body & health
S185,Weight-in-motion: piezo cable,15,Motion & Vibration,Contact,Aggregate,intrusion,Has someone entered who shouldn't have?,Security & safety
S185,Weight-in-motion: piezo cable,15,Motion & Vibration,Contact,Aggregate,machine-duty-cycle,How much is this machine actually used?,Machine health
S185,Weight-in-motion: piezo cable,15,Motion & Vibration,Contact,Aggregate,object-count,How many went past?,Objects & assets
S185,Weight-in-motion: piezo cable,15,Motion & Vibration,Contact,Aggregate,perimeter-crossed,"Was the boundary crossed, and where along it?",Security & safety
S185,Weight-in-motion: piezo cable,15,Motion & Vibration,Contact,Aggregate,queue-length,"How many are waiting, and for how long?",Human presence
S185,Weight-in-motion: piezo cable,15,Motion & Vibration,Contact,Aggregate,someone-present,Is anyone here?,Human presence
S185,Weight-in-motion: piezo cable,15,Motion & Vibration,Contact,Aggregate,step-count,How much have they moved today?,Body & health
S185,Weight-in-motion: piezo cable,15,Motion & Vibration,Contact,Aggregate,vehicle-approaching,Is a vehicle arriving?,Security & safety
S185,Weight-in-motion: piezo cable,15,Motion & Vibration,Contact,Aggregate,vehicle-speed,How fast are vehicles going past?,Security & safety
S205,BMI270 wearable IMU,8,Motion & Vibration,Contact,Aggregate,am-i-level,"Is this level, and by how much is it off?",Navigation & space
S205,BMI270 wearable IMU,8,Motion & Vibration,Contact,Aggregate,gait-quality,How is this person walking?,Body & health
S205,BMI270 wearable IMU,8,Motion & Vibration,Contact,Aggregate,how-fast-moving,How fast am I moving?,Navigation & space
S205,BMI270 wearable IMU,8,Motion & Vibration,Contact,Aggregate,machine-running,Is it on?,Machine health
S205,BMI270 wearable IMU,8,Motion & Vibration,Contact,Aggregate,object-dropped,"Was it dropped, and how hard?",Objects & assets
S205,BMI270 wearable IMU,8,Motion & Vibration,Contact,Aggregate,object-moved,Has it been moved or disturbed?,Objects & assets
S205,BMI270 wearable IMU,8,Motion & Vibration,Contact,Aggregate,person-fell,Did someone fall?,Human presence
S205,BMI270 wearable IMU,8,Motion & Vibration,Contact,Aggregate,posture,What posture is this body in?,Body & health
S205,BMI270 wearable IMU,8,Motion & Vibration,Contact,Aggregate,sleep-stage-proxy,"What sleep stage is this, roughly?",Body & health
S205,BMI270 wearable IMU,8,Motion & Vibration,Contact,Aggregate,step-count,How much have they moved today?,Body & health
S205,BMI270 wearable IMU,8,Motion & Vibration,Contact,Aggregate,tamper-detected,Has someone interfered with it?,Objects & assets
S205,BMI270 wearable IMU,8,Motion & Vibration,Contact,Aggregate,tremor-present,"Is there a tremor, and at what frequency?",Body & health
S206,MPU-9250 9-axis (legacy),8,Motion & Vibration,Contact,None,am-i-level,"Is this level, and by how much is it off?",Navigation & space
S206,MPU-9250 9-axis (legacy),8,Motion & Vibration,Contact,None,how-fast-moving,How fast am I moving?,Navigation & space
S206,MPU-9250 9-axis (legacy),8,Motion & Vibration,Contact,None,machine-running,Is it on?,Machine health
S206,MPU-9250 9-axis (legacy),8,Motion & Vibration,Contact,None,magnetic-anomaly,Is there ferrous metal or a field distortion here?,Invisible worlds
S206,MPU-9250 9-axis (legacy),8,Motion & Vibration,Contact,None,object-dropped,"Was it dropped, and how hard?",Objects & assets
S206,MPU-9250 9-axis (legacy),8,Motion & Vibration,Contact,None,object-moved,Has it been moved or disturbed?,Objects & assets
